wall_time,elapsed_s,pid,comm,score,confidence,mitigation,ticks,total_syscalls,futex,mmap,mprotect,clone,nanosleep,read,write,socket_calls,connect,send,recv,brk,thread_count,on_cpu_ns,voluntary_switches,involuntary_switches,total_connections,mining_pool_hits,total_mmap_bytes,scratchpad_allocs,huge_page_requests,large_alloc_count,mprotect_large,cpu_percent,reasons
1785653106.849,1.0,46907,openssl,0.0,NONE,NONE,0,146,22,20,12,4,0,11,3,0,0,0,0,3,5,2944462478,0,700,0,0,10710008,0,0,3,0,,
1785653107.861,2.0,46907,openssl,0.0,NONE,NONE,0,146,22,20,12,4,0,11,3,0,0,0,0,3,5,7507992475,0,1749,0,0,10710008,0,0,3,0,,
1785653108.88,3.0,46907,openssl,0.0,NONE,NONE,0,146,22,20,12,4,0,11,3,0,0,0,0,3,5,11200080029,1,2685,0,0,10710008,0,0,3,0,,
1785653109.89,4.1,46907,openssl,0.0,NONE,NONE,0,146,22,20,12,4,0,11,3,0,0,0,0,3,5,13820389033,5,3218,0,0,10710008,0,0,3,0,,
1785653110.898,5.1,46907,openssl,0.0,NONE,NONE,0,146,22,20,12,4,0,11,3,0,0,0,0,3,5,17499939459,9,4165,0,0,10710008,0,0,3,0,,
1785653111.906,6.1,46907,openssl,0.0,NONE,NONE,0,146,22,20,12,4,0,11,3,0,0,0,0,3,5,20511844935,11,5062,0,0,10710008,0,0,3,0,,
1785653112.914,7.1,46907,openssl,0.0,NONE,NONE,0,146,22,20,12,4,0,11,3,0,0,0,0,3,5,23099032437,11,5701,0,0,10710008,0,0,3,0,,
1785653113.924,8.1,46907,openssl,0.0,NONE,NONE,0,146,22,20,12,4,0,11,3,0,0,0,0,3,5,26241832920,14,6584,0,0,10710008,0,0,3,0,,
1785653114.931,9.1,46907,openssl,0.0,NONE,NONE,0,146,22,20,12,4,0,11,3,0,0,0,0,3,5,29396952881,15,7322,0,0,10710008,0,0,3,0,,
1785653115.939,10.1,46907,openssl,0.0,NONE,NONE,0,146,22,20,12,4,0,11,3,0,0,0,0,3,5,32598210375,16,8119,0,0,10710008,0,0,3,0,,
1785653116.949,11.1,46907,openssl,0.0,NONE,NONE,0,146,22,20,12,4,0,11,3,0,0,0,0,3,5,36175918900,18,9164,0,0,10710008,0,0,3,0,,
1785653117.961,12.1,46907,openssl,0.0,NONE,NONE,0,146,22,20,12,4,0,11,3,0,0,0,0,3,5,39246312182,18,10026,0,0,10710008,0,0,3,0,,
1785653118.982,13.1,46907,openssl,0.0,NONE,NONE,0,146,22,20,12,4,0,11,3,0,0,0,0,3,5,41913056896,18,10759,0,0,10710008,0,0,3,0,,
1785653119.988,14.2,46907,openssl,0.0,NONE,NONE,0,146,22,20,12,4,0,11,3,0,0,0,0,3,5,45082693326,21,11513,0,0,10710008,0,0,3,0,,
1785653120.997,15.2,46907,openssl,0.0,NONE,NONE,0,146,22,20,12,4,0,11,3,0,0,0,0,3,5,48324550530,21,12282,0,0,10710008,0,0,3,0,,
1785653122.007,16.2,46907,openssl,24.0,LOW,ALERT,1,146,22,20,12,4,0,11,3,0,0,0,0,3,5,52386581605,22,13720,0,0,10710008,0,0,3,0,0.0,thread saturation: 5 threads = 4 logical CPUs; CPU-bound: 100% involuntary preemptions (never yields voluntarily)
1785653123.014,17.2,46907,openssl,24.0,LOW,ALERT,1,146,22,20,12,4,0,11,3,0,0,0,0,3,5,55764131694,23,14464,0,0,10710008,0,0,3,0,0.0,thread saturation: 5 threads = 4 logical CPUs; CPU-bound: 100% involuntary preemptions (never yields voluntarily)
1785653124.02,18.2,46907,openssl,24.0,LOW,ALERT,1,146,22,20,12,4,0,11,3,0,0,0,0,3,4,14436420815,4,3302,0,0,10710008,0,0,3,0,0.0,thread saturation: 5 threads = 4 logical CPUs; CPU-bound: 100% involuntary preemptions (never yields voluntarily)
1785653125.027,19.2,46907,openssl,24.0,LOW,ALERT,1,146,22,20,12,4,0,11,3,0,0,0,0,3,4,14436420815,4,3302,0,0,10710008,0,0,3,0,0.0,thread saturation: 5 threads = 4 logical CPUs; CPU-bound: 100% involuntary preemptions (never yields voluntarily)
1785653126.035,20.2,46907,openssl,24.0,LOW,ALERT,1,146,22,20,12,4,0,11,3,0,0,0,0,3,4,14436420815,4,3302,0,0,10710008,0,0,3,0,0.0,thread saturation: 5 threads = 4 logical CPUs; CPU-bound: 100% involuntary preemptions (never yields voluntarily)
1785653127.04,21.2,46907,openssl,24.0,LOW,ALERT,1,146,22,20,12,4,0,11,3,0,0,0,0,3,4,14436420815,4,3302,0,0,10710008,0,0,3,0,0.0,thread saturation: 5 threads = 4 logical CPUs; CPU-bound: 100% involuntary preemptions (never yields voluntarily)
1785653128.044,22.2,46907,openssl,24.0,LOW,ALERT,1,146,22,20,12,4,0,11,3,0,0,0,0,3,4,14436420815,4,3302,0,0,10710008,0,0,3,0,0.0,thread saturation: 5 threads = 4 logical CPUs; CPU-bound: 100% involuntary preemptions (never yields voluntarily)
