wall_time,elapsed_s,pid,comm,score,confidence,mitigation,ticks,total_syscalls,futex,mmap,mprotect,clone,nanosleep,read,write,socket_calls,connect,send,recv,brk,thread_count,on_cpu_ns,voluntary_switches,involuntary_switches,total_connections,mining_pool_hits,total_mmap_bytes,scratchpad_allocs,huge_page_requests,large_alloc_count,mprotect_large,cpu_percent,reasons
1785648294.564,0.0,32614,DedicatedWorker,0.0,NONE,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1249113792,5869,1856,16,0,1655453178468,15,0,135,56,,
1785648295.604,1.1,32614,chrome,0.0,NONE,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1380630422,7042,2264,16,0,1655453178468,15,0,135,56,,
1785648296.645,2.2,32614,chrome,0.0,NONE,NONE,0,42658,6519,1042,2151,32,66,3057,1655,38,28,248,59,20,51,1415060594,7302,2361,22,0,1655453178468,15,0,135,56,,
1785648297.682,3.2,32614,DedicatedWorker,0.0,NONE,NONE,0,42658,6519,1042,2151,32,66,3057,1655,38,28,248,59,20,51,1436635953,7448,2433,22,0,1655453178468,15,0,135,56,,
1785648298.732,4.2,32614,DedicatedWorker,0.0,NONE,NONE,0,42658,6519,1042,2151,32,66,3057,1655,38,28,248,59,20,51,1437476230,7469,2434,22,0,1655453178468,15,0,135,56,,
1785648299.771,5.3,32614,ThreadPoolServi,0.0,NONE,NONE,0,51722,10893,1056,2206,32,66,3207,1756,46,35,280,86,20,51,1441635785,7514,2439,22,0,1655453178468,15,0,135,56,,
1785648300.817,6.3,32614,DedicatedWorker,0.0,NONE,NONE,0,51722,10893,1056,2206,32,66,3207,1756,46,35,280,86,20,51,1446149884,7534,2443,22,0,1655453178468,15,0,135,56,,
1785648301.867,7.4,32614,chrome,0.0,NONE,NONE,0,51722,10893,1056,2206,32,66,3207,1756,46,35,280,86,20,51,1446477004,7540,2443,22,0,1655453178468,15,0,135,56,,
1785648302.909,8.4,32614,DedicatedWorker,0.0,NONE,NONE,0,55617,14598,1060,2216,32,66,3229,1778,47,36,283,86,20,51,1446477004,7540,2443,22,0,1655453178468,15,0,135,56,,
1785648303.944,9.5,32614,DedicatedWorker,0.0,NONE,NONE,0,55617,14598,1060,2216,32,66,3229,1778,47,36,283,86,20,51,1448553599,7559,2460,22,0,1655453178468,15,0,135,56,,
1785648304.979,10.5,32614,DedicatedWorker,0.0,NONE,NONE,0,55617,14598,1060,2216,32,66,3229,1778,47,36,283,86,20,51,1449584297,7568,2466,22,0,1655453178468,15,0,135,56,,
1785648306.018,11.5,32614,DedicatedWorker,0.0,NONE,NONE,0,59796,18682,1060,2220,32,66,3237,1778,47,36,283,86,20,51,1449654421,7569,2466,22,0,1655453178468,15,0,135,56,,
1785648307.06,12.6,32614,DedicatedWorker,0.0,NONE,NONE,0,59796,18682,1060,2220,32,66,3237,1778,47,36,283,86,20,51,1450368996,7683,2573,22,0,1655453178468,15,0,135,56,,
1785648308.089,13.6,32614,chrome,0.0,NONE,NONE,0,59796,18682,1060,2220,32,66,3237,1778,47,36,283,86,20,51,1450368996,7683,2573,22,0,1655453178468,15,0,135,56,,
1785648309.114,14.6,32614,DedicatedWorker,0.0,NONE,NONE,0,64290,23119,1060,2229,32,66,3239,1782,47,36,283,86,20,51,1452525516,7698,2578,22,0,1655453178468,15,0,135,56,,
1785648310.155,15.7,32614,DedicatedWorker,0.0,NONE,NONE,0,64290,23119,1060,2229,32,66,3239,1782,47,36,283,86,20,51,1452702389,7699,2578,22,0,1655453178468,15,0,135,56,,
1785648311.198,16.7,32614,DedicatedWorker,0.0,NONE,NONE,0,64290,23119,1060,2229,32,66,3239,1782,47,36,283,86,20,51,1452702389,7699,2578,22,0,1655453178468,15,0,135,56,,
1785648312.22,17.7,32614,DedicatedWorker,0.0,NONE,NONE,0,67153,25976,1060,2233,32,66,3239,1782,47,36,283,86,20,51,1452734347,7701,2578,22,0,1655453178468,15,0,135,56,,
1785648313.251,18.8,32614,DedicatedWorker,0.0,NONE,NONE,0,67153,25976,1060,2233,32,66,3239,1782,47,36,283,86,20,51,1452830097,7702,2578,22,0,1655453178468,15,0,135,56,,
1785648314.281,19.8,32614,DedicatedWorker,0.0,NONE,NONE,0,69586,28393,1060,2237,32,66,3239,1782,47,36,283,86,20,51,1452830097,7702,2578,22,0,1655453178468,15,0,135,56,,
1785648315.309,20.8,32614,DedicatedWorker,0.0,NONE,NONE,0,71790,30576,1060,2245,32,66,3239,1782,47,36,283,86,20,51,1453122761,7704,2578,22,0,1655453178468,15,0,135,56,,
1785648316.336,21.9,32614,DedicatedWorker,0.0,NONE,NONE,0,71790,30576,1060,2245,32,66,3239,1782,47,36,283,86,20,51,1453122761,7704,2578,22,0,1655453178468,15,0,135,56,,
1785648317.382,22.9,32614,DedicatedWorker,0.0,NONE,NONE,0,74039,32819,1060,2245,32,66,3239,1782,47,36,283,86,20,51,1453122761,7704,2578,22,0,1655453178468,15,0,135,56,,
1785648318.421,23.9,32614,DedicatedWorker,0.0,NONE,NONE,0,74039,32819,1060,2245,32,66,3239,1782,47,36,283,86,20,51,1454690795,7710,2581,22,0,1655453178468,15,0,135,56,,
1785648319.455,25.0,32614,DedicatedWorker,0.0,NONE,NONE,0,74039,32819,1060,2245,32,66,3239,1782,47,36,283,86,20,51,1454690795,7710,2581,22,0,1655453178468,15,0,135,56,,
1785648320.481,26.0,32614,DedicatedWorker,0.0,NONE,NONE,0,74039,32819,1060,2245,32,66,3239,1782,47,36,283,86,20,51,1454690795,7710,2581,22,0,1655453178468,15,0,135,56,,
1785648321.509,27.0,32614,DedicatedWorker,0.0,NONE,NONE,0,79566,38125,1062,2251,32,66,3263,1790,48,37,287,86,20,51,1459847068,7741,2607,22,0,1655453178468,15,0,135,56,,
1785648322.534,28.1,32614,DedicatedWorker,0.0,NONE,NONE,0,79566,38125,1062,2251,32,66,3263,1790,48,37,287,86,20,51,1459847068,7741,2607,22,0,1655453178468,15,0,135,56,,
1785648323.565,29.1,32614,DedicatedWorker,0.0,NONE,NONE,0,79566,38125,1062,2251,32,66,3263,1790,48,37,287,86,20,51,1469098422,7793,2622,22,0,1655453178468,15,0,135,56,,
1785648324.601,30.1,32614,DedicatedWorker,0.0,NONE,NONE,0,79566,38125,1062,2251,32,66,3263,1790,48,37,287,86,20,51,1469742586,7839,2627,22,0,1655453178468,15,0,135,56,,
1785648325.639,31.1,32614,DedicatedWorker,0.0,NONE,NONE,0,85051,42496,1062,2364,32,66,3289,1816,48,37,287,86,20,51,1477439248,7964,2650,22,0,1655495449188,15,0,140,60,,
1785648326.674,32.2,32614,DedicatedWorker,0.0,NONE,NONE,0,85051,42496,1062,2364,32,66,3289,1816,48,37,287,86,20,51,1477439248,7964,2650,22,0,1655495449188,15,0,140,60,,
1785648327.711,33.2,32614,DedicatedWorker,0.0,NONE,NONE,0,88402,45677,1067,2373,32,66,3290,1817,48,37,287,86,20,51,1477463039,7965,2650,22,0,1655495449188,15,0,140,60,,
1785648328.738,34.3,32614,DedicatedWorker,0.0,NONE,NONE,0,88402,45677,1067,2373,32,66,3290,1817,48,37,287,86,20,51,1477463039,7965,2650,22,0,1655495449188,15,0,140,60,,
1785648329.786,35.3,32614,DedicatedWorker,0.0,NONE,NONE,0,91425,48690,1067,2379,32,66,3290,1817,48,37,287,86,20,51,1477463039,7965,2650,22,0,1655495449188,15,0,140,60,,
1785648330.812,36.3,32614,DedicatedWorker,0.0,NONE,NONE,0,91425,48690,1067,2379,32,66,3290,1817,48,37,287,86,20,51,1477463039,7965,2650,22,0,1655495449188,15,0,140,60,,
1785648331.839,37.4,32614,DedicatedWorker,0.0,NONE,NONE,0,93446,50709,1067,2381,32,66,3290,1817,48,37,287,86,20,51,1477704658,7968,2651,22,0,1655495449188,15,0,140,60,,
1785648332.874,38.4,32614,DedicatedWorker,15.0,NONE,NONE,0,93446,50709,1067,2381,32,66,3290,1817,48,37,287,86,20,51,1477704658,7968,2651,22,0,1655495449188,15,0,140,60,0.0,"thread saturation: 51 threads = 4 logical CPUs; 15 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785648333.901,39.4,32614,DedicatedWorker,15.0,NONE,NONE,0,93446,50709,1067,2381,32,66,3290,1817,48,37,287,86,20,51,1478916962,7973,2654,22,0,1655495449188,15,0,140,60,0.0,"thread saturation: 51 threads = 4 logical CPUs; 15 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785648334.932,40.4,32614,DedicatedWorker,15.0,NONE,NONE,0,93446,50709,1067,2381,32,66,3290,1817,48,37,287,86,20,51,1478916962,7973,2654,22,0,1655495449188,15,0,140,60,0.0,"thread saturation: 51 threads = 4 logical CPUs; 15 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785648335.962,41.5,32614,DedicatedWorker,15.0,NONE,NONE,0,98966,56172,1067,2392,32,66,3298,1820,48,37,287,86,20,51,1478916962,7973,2654,22,0,1655495449188,15,0,140,60,0.0,"thread saturation: 51 threads = 4 logical CPUs; 15 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785648337.012,42.5,32614,DedicatedWorker,15.0,NONE,NONE,0,98966,56172,1067,2392,32,66,3298,1820,48,37,287,86,20,51,1478916962,7973,2654,22,0,1655495449188,15,0,140,60,0.0,"thread saturation: 51 threads = 4 logical CPUs; 15 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785648338.044,43.6,32614,DedicatedWorker,15.0,NONE,NONE,0,98966,56172,1067,2392,32,66,3298,1820,48,37,287,86,20,51,1478940170,7974,2654,22,0,1655495449188,15,0,140,60,0.0,"thread saturation: 51 threads = 4 logical CPUs; 15 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785648339.071,44.6,32614,DedicatedWorker,15.0,NONE,NONE,0,102584,59779,1067,2399,32,66,3298,1820,48,37,287,86,20,51,1479016793,7975,2654,22,0,1655495449188,15,0,140,60,0.0,"thread saturation: 51 threads = 4 logical CPUs; 15 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785648340.104,45.6,32614,DedicatedWorker,15.0,NONE,NONE,0,102584,59779,1067,2399,32,66,3298,1820,48,37,287,86,20,51,1479072458,7976,2654,22,0,1655495449188,15,0,140,60,0.0,"thread saturation: 51 threads = 4 logical CPUs; 15 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785648341.143,46.7,32614,DedicatedWorker,15.0,NONE,NONE,0,104592,61770,1067,2406,32,66,3298,1820,48,37,287,86,20,51,1479326703,7977,2654,22,0,1655495449188,15,0,140,60,0.0,"thread saturation: 51 threads = 4 logical CPUs; 15 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785648342.168,47.7,32614,DedicatedWorker,15.0,NONE,NONE,0,104592,61770,1067,2406,32,66,3298,1820,48,37,287,86,20,51,1479326703,7977,2654,22,0,1655495449188,15,0,140,60,0.0,"thread saturation: 51 threads = 4 logical CPUs; 15 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785648343.225,48.7,32614,DedicatedWorker,15.0,NONE,NONE,0,107922,65085,1067,2416,32,66,3298,1820,48,37,287,86,20,51,1479326703,7977,2654,22,0,1655495449188,15,0,140,60,0.0,"thread saturation: 51 threads = 4 logical CPUs; 15 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785648344.273,49.8,32614,DedicatedWorker,15.0,NONE,NONE,0,107922,65085,1067,2416,32,66,3298,1820,48,37,287,86,20,51,1479326703,7977,2654,22,0,1655495449188,15,0,140,60,0.0,"thread saturation: 51 threads = 4 logical CPUs; 15 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785648345.296,50.8,32614,DedicatedWorker,15.0,NONE,NONE,0,110378,67537,1067,2420,32,66,3298,1820,48,37,287,86,20,51,1479326703,7977,2654,22,0,1655495449188,15,0,140,60,0.0,"thread saturation: 51 threads = 4 logical CPUs; 15 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785648346.334,51.8,32614,DedicatedWorker,15.0,NONE,NONE,0,110378,67537,1067,2420,32,66,3298,1820,48,37,287,86,20,51,1479326703,7977,2654,22,0,1655495449188,15,0,140,60,0.0,"thread saturation: 51 threads = 4 logical CPUs; 15 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785648347.356,52.9,32614,DedicatedWorker,15.0,NONE,NONE,0,113209,70285,1067,2420,32,66,3298,1820,48,37,287,86,20,51,1480721224,7982,2654,22,0,1655495449188,15,0,140,60,0.0,"thread saturation: 51 threads = 4 logical CPUs; 15 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785648348.393,53.9,32614,DedicatedWorker,15.0,NONE,NONE,0,113209,70285,1067,2420,32,66,3298,1820,48,37,287,86,20,51,1480721224,7982,2654,22,0,1655495449188,15,0,140,60,0.0,"thread saturation: 51 threads = 4 logical CPUs; 15 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785648349.43,54.9,32614,DedicatedWorker,15.0,NONE,NONE,0,113209,70285,1067,2420,32,66,3298,1820,48,37,287,86,20,51,1483395438,7996,2655,22,0,1655495449188,15,0,140,60,0.0,"thread saturation: 51 threads = 4 logical CPUs; 15 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785648350.463,56.0,32614,DedicatedWorker,15.0,NONE,NONE,0,113209,70285,1067,2420,32,66,3298,1820,48,37,287,86,20,51,1484105263,7999,2655,22,0,1655495449188,15,0,140,60,0.0,"thread saturation: 51 threads = 4 logical CPUs; 15 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785648351.489,57.0,32614,DedicatedWorker,15.0,NONE,NONE,0,118013,74938,1067,2431,32,66,3315,1824,48,37,288,86,20,51,1485201750,8003,2655,22,0,1655495449188,15,0,140,60,0.0,"thread saturation: 51 threads = 4 logical CPUs; 15 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
