wall_time,elapsed_s,pid,comm,score,confidence,mitigation,ticks,total_syscalls,futex,mmap,mprotect,clone,nanosleep,read,write,socket_calls,connect,send,recv,brk,thread_count,on_cpu_ns,voluntary_switches,involuntary_switches,total_connections,mining_pool_hits,total_mmap_bytes,scratchpad_allocs,huge_page_requests,large_alloc_count,mprotect_large,cpu_percent,reasons
1785608401.17,1.0,49903,xmrig,0.0,NONE,NONE,0,883,32,103,52,0,0,120,6,1,0,2,0,3,3,779578486,16,65,0,0,858382108,7,4,18,2,,
1785608402.172,2.0,49903,xmrig,0.0,NONE,NONE,0,886,32,103,52,0,0,120,6,1,0,2,0,3,3,1698457362,53,92,0,0,858382108,7,4,18,2,,
1785608403.174,3.0,49903,xmrig,0.0,NONE,NONE,0,889,32,103,52,0,0,120,6,1,0,2,0,3,3,2808843188,53,117,0,0,858382108,7,4,18,2,,
1785608404.177,4.0,49903,xmrig,0.0,NONE,NONE,0,892,32,103,52,0,0,120,6,1,0,2,0,3,3,3798568000,53,130,0,0,858382108,7,4,18,2,,
1785608405.179,5.0,49903,xmrig,0.0,NONE,NONE,0,895,32,103,52,0,0,120,6,1,0,2,0,3,3,4503153434,53,141,0,0,858382108,7,4,18,2,,
1785608406.181,6.0,49903,xmrig,0.0,NONE,NONE,0,899,32,103,52,0,0,120,6,1,0,2,0,3,3,5847052035,53,149,0,0,858382108,7,4,18,2,,
1785608407.184,7.0,49903,xmrig,0.0,NONE,NONE,0,902,32,103,52,0,0,120,6,1,0,2,0,3,3,6874464694,53,159,0,0,858382108,7,4,18,2,,
1785608408.189,8.0,49903,xmrig,0.0,NONE,NONE,0,904,32,103,52,0,0,120,6,1,0,2,0,3,3,7766668495,53,165,0,0,858382108,7,4,18,2,,
1785608409.193,9.0,49903,xmrig,0.0,NONE,NONE,0,908,32,103,52,0,0,120,6,1,0,2,0,3,3,8854374791,53,181,0,0,858382108,7,4,18,2,,
1785608410.196,10.0,49903,xmrig,0.0,NONE,NONE,0,911,32,103,52,0,0,120,6,1,0,2,0,3,3,9878252209,53,188,0,0,858382108,7,4,18,2,,
1785608411.198,11.0,49903,xmrig,0.0,NONE,NONE,0,915,32,103,52,0,0,120,6,1,0,2,0,3,3,10838001735,53,198,0,0,858382108,7,4,18,2,,
1785608412.2,12.0,49903,xmrig,0.0,NONE,NONE,0,917,32,103,52,0,0,120,6,1,0,2,0,3,3,11861911317,53,205,0,0,858382108,7,4,18,2,,
1785608413.203,13.0,49903,xmrig,0.0,NONE,NONE,0,921,32,103,52,0,0,120,6,1,0,2,0,3,3,12872509132,53,215,0,0,858382108,7,4,18,2,,
1785608414.205,14.0,49903,xmrig,0.0,NONE,NONE,0,924,32,103,52,0,0,120,6,1,0,2,0,3,3,13845640336,53,221,0,0,858382108,7,4,18,2,,
