wall_time,elapsed_s,pid,comm,score,confidence,mitigation,ticks,total_syscalls,futex,mmap,mprotect,clone,nanosleep,read,write,socket_calls,connect,send,recv,brk,thread_count,on_cpu_ns,voluntary_switches,involuntary_switches,total_connections,mining_pool_hits,total_mmap_bytes,scratchpad_allocs,huge_page_requests,large_alloc_count,mprotect_large,cpu_percent,reasons
1785652738.442,0.0,45884,xmrig,0.0,NONE,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9989400,0,0,3,0,,
1785652739.446,1.0,45884,xmrig,0.0,NONE,NONE,0,879,26,103,52,0,0,120,6,1,0,2,0,3,3,893018985,12,61,0,0,858382108,7,4,18,2,,
1785652740.449,2.0,45884,xmrig,0.0,NONE,NONE,0,882,26,103,52,0,0,120,6,1,0,2,0,3,3,1998159255,13,146,0,0,858382108,7,4,18,2,,
1785652741.455,3.0,45884,xmrig,0.0,NONE,NONE,0,885,26,103,52,0,0,120,6,1,0,2,0,3,3,2807722076,13,217,0,0,858382108,7,4,18,2,,
1785652742.459,4.0,45884,xmrig,0.0,NONE,NONE,0,888,26,103,52,0,0,120,6,1,0,2,0,3,3,3814150251,14,306,0,0,858382108,7,4,18,2,,
1785652743.462,5.0,45884,xmrig,0.0,NONE,NONE,0,891,26,103,52,0,0,120,6,1,0,2,0,3,3,4814359051,15,397,0,0,858382108,7,4,18,2,,
1785652744.466,6.0,45884,xmrig,0.0,NONE,NONE,0,894,26,103,52,0,0,120,6,1,0,2,0,3,3,5819431476,15,480,0,0,858382108,7,4,18,2,,
1785652745.47,7.0,45884,xmrig,0.0,NONE,NONE,0,897,26,103,52,0,0,120,6,1,0,2,0,3,3,6826554084,15,561,0,0,858382108,7,4,18,2,,
1785652746.474,8.0,45884,xmrig,0.0,NONE,NONE,0,900,26,103,52,0,0,120,6,1,0,2,0,3,3,7828274577,15,638,0,0,858382108,7,4,18,2,,
1785652747.477,9.0,45884,xmrig,0.0,NONE,NONE,0,903,26,103,52,0,0,120,6,1,0,2,0,3,3,8825780734,15,719,0,0,858382108,7,4,18,2,,
1785652748.481,10.0,45884,xmrig,0.0,NONE,NONE,0,906,26,103,52,0,0,120,6,1,0,2,0,3,3,9825726735,15,799,0,0,858382108,7,4,18,2,,
1785652749.485,11.0,45884,xmrig,0.0,NONE,NONE,0,909,26,103,52,0,0,120,6,1,0,2,0,3,3,10839272340,15,881,0,0,858382108,7,4,18,2,,
1785652750.488,12.0,45884,xmrig,0.0,NONE,NONE,0,912,26,103,52,0,0,120,6,1,0,2,0,3,3,11835528790,15,960,0,0,858382108,7,4,18,2,,
1785652751.493,13.1,45884,xmrig,0.0,NONE,NONE,0,915,26,103,52,0,0,120,6,1,0,2,0,3,3,13022462320,18,1051,0,0,858382108,7,4,18,2,,
1785652752.498,14.1,45884,xmrig,0.0,NONE,NONE,0,918,26,103,52,0,0,120,6,1,0,2,0,3,3,13841945813,19,1117,0,0,858382108,7,4,18,2,,
1785652753.504,15.1,45884,xmrig,38.0,LOW,ALERT,1,921,26,103,52,0,0,120,6,1,0,2,0,3,3,14848288931,21,1205,0,0,858382108,7,4,18,2,0.0,partial thread saturation: 3/4 CPUs; RandomX signature: 4 × 2MB scratchpad allocation(s) backed by huge pages (14 MB total) — strong evidence; MAP_HUGETLB requested (4 times); CPU-bound: 98% involuntary preemptions (never yields voluntarily)
1785652754.508,16.1,45884,xmrig,38.0,LOW,ALERT,1,924,26,103,52,0,0,120,6,1,0,2,0,3,3,15935217643,23,1292,0,0,858382108,7,4,18,2,0.0,partial thread saturation: 3/4 CPUs; RandomX signature: 4 × 2MB scratchpad allocation(s) backed by huge pages (14 MB total) — strong evidence; MAP_HUGETLB requested (4 times); CPU-bound: 98% involuntary preemptions (never yields voluntarily)
1785652755.511,17.1,45884,xmrig,38.0,LOW,ALERT,1,927,26,103,52,0,0,120,6,1,0,2,0,3,3,16937110945,24,1377,0,0,858382108,7,4,18,2,0.0,partial thread saturation: 3/4 CPUs; RandomX signature: 4 × 2MB scratchpad allocation(s) backed by huge pages (14 MB total) — strong evidence; MAP_HUGETLB requested (4 times); CPU-bound: 98% involuntary preemptions (never yields voluntarily)
1785652756.515,18.1,45884,xmrig,38.0,LOW,ALERT,1,930,26,103,52,0,0,120,6,1,0,2,0,3,3,17859333668,27,1445,0,0,858382108,7,4,18,2,0.0,partial thread saturation: 3/4 CPUs; RandomX signature: 4 × 2MB scratchpad allocation(s) backed by huge pages (14 MB total) — strong evidence; MAP_HUGETLB requested (4 times); CPU-bound: 98% involuntary preemptions (never yields voluntarily)
1785652757.518,19.1,45884,xmrig,38.0,LOW,ALERT,1,933,26,103,52,0,0,120,6,1,0,2,0,3,3,18869645939,28,1526,0,0,858382108,7,4,18,2,0.0,partial thread saturation: 3/4 CPUs; RandomX signature: 4 × 2MB scratchpad allocation(s) backed by huge pages (14 MB total) — strong evidence; MAP_HUGETLB requested (4 times); CPU-bound: 98% involuntary preemptions (never yields voluntarily)
1785652758.522,20.1,45884,xmrig,38.0,LOW,ALERT,1,936,26,103,52,0,0,120,6,1,0,2,0,3,3,19864487617,28,1602,0,0,858382108,7,4,18,2,0.0,partial thread saturation: 3/4 CPUs; RandomX signature: 4 × 2MB scratchpad allocation(s) backed by huge pages (14 MB total) — strong evidence; MAP_HUGETLB requested (4 times); CPU-bound: 98% involuntary preemptions (never yields voluntarily)
1785652759.526,21.1,45884,xmrig,38.0,LOW,ALERT,1,939,26,103,52,0,0,120,6,1,0,2,0,3,3,20869939029,29,1678,0,0,858382108,7,4,18,2,0.0,partial thread saturation: 3/4 CPUs; RandomX signature: 4 × 2MB scratchpad allocation(s) backed by huge pages (14 MB total) — strong evidence; MAP_HUGETLB requested (4 times); CPU-bound: 98% involuntary preemptions (never yields voluntarily)
1785652760.529,22.1,45884,xmrig,38.0,LOW,ALERT,1,942,26,103,52,0,0,120,6,1,0,2,0,3,3,21872078131,29,1756,0,0,858382108,7,4,18,2,0.0,partial thread saturation: 3/4 CPUs; RandomX signature: 4 × 2MB scratchpad allocation(s) backed by huge pages (14 MB total) — strong evidence; MAP_HUGETLB requested (4 times); CPU-bound: 98% involuntary preemptions (never yields voluntarily)
1785652761.533,23.1,45884,xmrig,38.0,LOW,ALERT,1,945,26,103,52,0,0,120,6,1,0,2,0,3,3,22949032246,31,1840,0,0,858382108,7,4,18,2,0.0,partial thread saturation: 3/4 CPUs; RandomX signature: 4 × 2MB scratchpad allocation(s) backed by huge pages (14 MB total) — strong evidence; MAP_HUGETLB requested (4 times); CPU-bound: 98% involuntary preemptions (never yields voluntarily)
1785652762.536,24.1,45884,xmrig,38.0,LOW,ALERT,1,948,26,103,52,0,0,120,6,1,0,2,0,3,3,23876841340,32,1913,0,0,858382108,7,4,18,2,0.0,partial thread saturation: 3/4 CPUs; RandomX signature: 4 × 2MB scratchpad allocation(s) backed by huge pages (14 MB total) — strong evidence; MAP_HUGETLB requested (4 times); CPU-bound: 98% involuntary preemptions (never yields voluntarily)
1785652763.541,25.1,45884,xmrig,38.0,LOW,ALERT,1,951,26,103,52,0,0,120,6,1,0,2,0,3,3,24880277464,32,1992,0,0,858382108,7,4,18,2,0.0,partial thread saturation: 3/4 CPUs; RandomX signature: 4 × 2MB scratchpad allocation(s) backed by huge pages (14 MB total) — strong evidence; MAP_HUGETLB requested (4 times); CPU-bound: 98% involuntary preemptions (never yields voluntarily)
