wall_time,elapsed_s,pid,comm,score,confidence,mitigation,ticks,total_syscalls,futex,mmap,mprotect,clone,nanosleep,read,write,socket_calls,connect,send,recv,brk,thread_count,on_cpu_ns,voluntary_switches,involuntary_switches,total_connections,mining_pool_hits,total_mmap_bytes,scratchpad_allocs,huge_page_requests,large_alloc_count,mprotect_large,cpu_percent,reasons
1785608810.723,1.0,51659,xmrig_packed_po,0.0,NONE,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1637191227,28,703,0,0,1259226220,19,10,38,6,,
1785608811.746,2.1,51659,xmrig_packed_po,0.0,NONE,NONE,0,1025,45,131,58,0,0,133,6,1,0,2,0,3,6,3924051368,263,2388,0,0,1259226220,19,10,38,6,,
1785608812.757,3.1,51659,xmrig_packed_po,0.0,NONE,NONE,0,1028,45,131,58,0,0,133,6,1,0,2,0,3,6,6823962451,265,4096,0,0,1259226220,19,10,38,6,,
1785608813.775,4.1,51659,xmrig_packed_po,0.0,NONE,NONE,0,1033,45,131,58,0,0,133,6,1,0,2,0,3,6,9664157396,268,5326,0,0,1259226220,19,10,38,6,,
1785608814.789,5.1,51659,xmrig_packed_po,0.0,NONE,NONE,0,1036,45,131,58,0,0,133,6,1,0,2,0,3,6,12351825503,271,6621,0,0,1259226220,19,10,38,6,,
1785608815.806,6.1,51659,xmrig_packed_po,0.0,NONE,NONE,0,1039,45,131,58,0,0,133,6,1,0,2,0,3,6,15617851485,271,7642,0,0,1259226220,19,10,38,6,,
1785608816.828,7.1,51659,xmrig_packed_po,0.0,NONE,NONE,0,1042,45,131,58,0,0,133,6,1,0,2,0,3,6,18750102354,272,8819,0,0,1259226220,19,10,38,6,,
1785608817.844,8.2,51659,xmrig_packed_po,0.0,NONE,NONE,0,1045,45,131,58,0,0,133,6,1,0,2,0,3,6,21862644954,272,10058,0,0,1259226220,19,10,38,6,,
1785608818.87,9.2,51659,xmrig_packed_po,0.0,NONE,NONE,0,1048,45,131,58,0,0,133,6,1,0,2,0,3,6,24677153349,272,11233,0,0,1259226220,19,10,38,6,,
1785608819.885,10.2,51659,xmrig_packed_po,0.0,NONE,NONE,0,1051,45,131,58,0,0,133,6,1,0,2,0,3,6,27546725712,273,12174,0,0,1259226220,19,10,38,6,,
1785608820.907,11.2,51659,xmrig_packed_po,0.0,NONE,NONE,0,1054,45,131,58,0,0,133,6,1,0,2,0,3,6,30237816187,274,13183,0,0,1259226220,19,10,38,6,,
1785608821.923,12.2,51659,xmrig_packed_po,0.0,NONE,NONE,0,1057,45,131,58,0,0,133,6,1,0,2,0,3,6,33711767962,274,13820,0,0,1259226220,19,10,38,6,,
1785608822.964,13.3,51659,xmrig_packed_po,0.0,NONE,NONE,0,1060,45,131,58,0,0,133,6,1,0,2,0,3,6,36873916052,275,14239,0,0,1259226220,19,10,38,6,,
1785608823.98,14.3,51659,xmrig_packed_po,0.0,NONE,NONE,0,1063,45,131,58,0,0,133,6,1,0,2,0,3,6,40112333348,275,14759,0,0,1259226220,19,10,38,6,,
1785608824.996,15.3,51659,xmrig_packed_po,0.0,NONE,NONE,0,1066,45,131,58,0,0,133,6,1,0,2,0,3,6,43499519863,275,15372,0,0,1259226220,19,10,38,6,,
1785608826.014,16.3,51659,xmrig_packed_po,0.0,NONE,NONE,0,1069,45,131,58,0,0,133,6,1,0,2,0,3,6,46708274867,275,16024,0,0,1259226220,19,10,38,6,,
1785608827.033,17.4,51659,xmrig_packed_po,0.0,NONE,NONE,0,1072,45,131,58,0,0,133,6,1,0,2,0,3,6,49578214607,276,16828,0,0,1259226220,19,10,38,6,,
1785608828.053,18.4,51659,xmrig_packed_po,0.0,NONE,NONE,0,1075,45,131,58,0,0,133,6,1,0,2,0,3,6,52735664822,276,17877,0,0,1259226220,19,10,38,6,,
1785608829.072,19.4,51659,xmrig_packed_po,0.0,NONE,NONE,0,1078,45,131,58,0,0,133,6,1,0,2,0,3,6,55740146100,277,18861,0,0,1259226220,19,10,38,6,,
1785608830.085,20.4,51659,xmrig_packed_po,0.0,NONE,NONE,0,1081,45,131,58,0,0,133,6,1,0,2,0,3,6,58720055663,279,19936,0,0,1259226220,19,10,38,6,,
1785608831.103,21.4,51659,xmrig_packed_po,0.0,NONE,NONE,0,1084,45,131,58,0,0,133,6,1,0,2,0,3,6,61325560906,279,20853,0,0,1259226220,19,10,38,6,,
1785608832.126,22.4,51659,xmrig_packed_po,0.0,NONE,NONE,0,1087,45,131,58,0,0,133,6,1,0,2,0,3,6,64945535741,280,21729,0,0,1259226220,19,10,38,6,,
1785608833.146,23.5,51659,xmrig_packed_po,0.0,NONE,NONE,0,1090,45,131,58,0,0,133,6,1,0,2,0,3,6,67687967627,280,22643,0,0,1259226220,19,10,38,6,,
1785608834.161,24.5,51659,xmrig_packed_po,0.0,NONE,NONE,0,1093,45,131,58,0,0,133,6,1,0,2,0,3,6,70463402307,280,23674,0,0,1259226220,19,10,38,6,,
1785608835.182,25.5,51659,xmrig_packed_po,0.0,NONE,NONE,0,1096,45,131,58,0,0,133,6,1,0,2,0,3,6,73452518461,280,24821,0,0,1259226220,19,10,38,6,,
1785608836.202,26.5,51659,xmrig_packed_po,0.0,NONE,NONE,0,1099,45,131,58,0,0,133,6,1,0,2,0,3,6,76557853320,280,25932,0,0,1259226220,19,10,38,6,,
1785608837.232,27.5,51659,xmrig_packed_po,0.0,NONE,NONE,0,1102,45,131,58,0,0,133,6,1,0,2,0,3,6,79863842618,281,26770,0,0,1259226220,19,10,38,6,,
1785608838.25,28.6,51659,xmrig_packed_po,0.0,NONE,NONE,0,1105,45,131,58,0,0,133,6,1,0,2,0,3,6,82022297426,281,27554,0,0,1259226220,19,10,38,6,,
1785608839.269,29.6,51659,xmrig_packed_po,0.0,NONE,NONE,0,1108,45,131,58,0,0,133,6,1,0,2,0,3,6,85267762434,282,28589,0,0,1259226220,19,10,38,6,,
1785608840.284,30.6,51659,xmrig_packed_po,0.0,NONE,NONE,0,1112,45,131,58,0,0,133,6,1,0,2,0,3,6,88401983040,282,29550,0,0,1259226220,19,10,38,6,,
1785608841.297,31.6,51659,xmrig_packed_po,0.0,NONE,NONE,0,1115,45,131,58,0,0,133,6,1,0,2,0,3,6,91571620951,282,30640,0,0,1259226220,19,10,38,6,,
1785608842.315,32.6,51659,xmrig_packed_po,0.0,NONE,NONE,0,1118,45,131,58,0,0,133,6,1,0,2,0,3,6,94449728757,282,31731,0,0,1259226220,19,10,38,6,,
1785608843.343,33.7,51659,xmrig_packed_po,0.0,NONE,NONE,0,1121,45,131,58,0,0,133,6,1,0,2,0,3,6,97342137153,282,32817,0,0,1259226220,19,10,38,6,,
1785608844.359,34.7,51659,xmrig_packed_po,0.0,NONE,NONE,0,1124,45,131,58,0,0,133,6,1,0,2,0,3,6,99925803802,282,33764,0,0,1259226220,19,10,38,6,,
1785608845.371,35.7,51659,xmrig_packed_po,0.0,NONE,NONE,0,1127,45,131,58,0,0,133,6,1,0,2,0,3,6,103416255443,282,35417,0,0,1259226220,19,10,38,6,,
1785608846.393,36.7,51659,xmrig_packed_po,44.0,MEDIUM,THROTTLE,1,1130,45,131,58,0,0,133,6,1,0,2,0,3,6,106173852844,282,36111,0,0,1259226220,19,10,38,6,0.0,thread saturation: 6 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (38 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 99% involuntary preemptions (never yields voluntarily)
1785608847.408,37.7,51659,xmrig_packed_po,44.0,MEDIUM,THROTTLE,1,1133,45,131,58,0,0,133,6,1,0,2,0,3,6,109826239821,282,36743,0,0,1259226220,19,10,38,6,0.0,thread saturation: 6 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (38 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 99% involuntary preemptions (never yields voluntarily)
1785608848.423,38.8,51659,xmrig_packed_po,44.0,MEDIUM,THROTTLE,1,1136,45,131,58,0,0,133,6,1,0,2,0,3,6,112996821218,282,37299,0,0,1259226220,19,10,38,6,0.0,thread saturation: 6 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (38 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 99% involuntary preemptions (never yields voluntarily)
1785608849.436,39.8,51659,xmrig_packed_po,44.0,MEDIUM,THROTTLE,1,1139,45,131,58,0,0,133,6,1,0,2,0,3,6,115932022198,282,37713,0,0,1259226220,19,10,38,6,0.0,thread saturation: 6 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (38 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 99% involuntary preemptions (never yields voluntarily)
1785608850.462,40.8,51659,xmrig_packed_po,44.0,MEDIUM,THROTTLE,1,1142,45,131,58,0,0,133,6,1,0,2,0,3,6,119751309144,283,38268,0,0,1259226220,19,10,38,6,0.0,thread saturation: 6 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (38 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 99% involuntary preemptions (never yields voluntarily)
1785608851.473,41.8,51659,xmrig_packed_po,44.0,MEDIUM,THROTTLE,1,1145,45,131,58,0,0,133,6,1,0,2,0,3,6,121988385911,283,38970,0,0,1259226220,19,10,38,6,0.0,thread saturation: 6 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (38 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 99% involuntary preemptions (never yields voluntarily)
1785608852.487,42.8,51659,xmrig_packed_po,44.0,MEDIUM,THROTTLE,1,1148,45,131,58,0,0,133,6,1,0,2,0,3,6,125227548751,283,40680,0,0,1259226220,19,10,38,6,0.0,thread saturation: 6 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (38 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 99% involuntary preemptions (never yields voluntarily)
1785608853.506,43.8,51659,xmrig_packed_po,44.0,MEDIUM,THROTTLE,1,1151,45,131,58,0,0,133,6,1,0,2,0,3,6,128128129933,283,41797,0,0,1259226220,19,10,38,6,0.0,thread saturation: 6 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (38 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 99% involuntary preemptions (never yields voluntarily)
1785608854.526,44.8,51659,xmrig_packed_po,44.0,MEDIUM,THROTTLE,1,1154,45,131,58,0,0,133,6,1,0,2,0,3,6,131367201879,283,42656,0,0,1259226220,19,10,38,6,0.0,thread saturation: 6 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (38 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 99% involuntary preemptions (never yields voluntarily)
