wall_time,elapsed_s,pid,comm,score,confidence,mitigation,ticks,total_syscalls,futex,mmap,mprotect,clone,nanosleep,read,write,socket_calls,connect,send,recv,brk,thread_count,on_cpu_ns,voluntary_switches,involuntary_switches,total_connections,mining_pool_hits,total_mmap_bytes,scratchpad_allocs,huge_page_requests,large_alloc_count,mprotect_large,cpu_percent,reasons
1785645477.537,1.0,21085,xmrig,0.0,NONE,NONE,0,925,40,99,52,0,0,116,25,2,1,2,0,3,6,216725614,490,38,1,1,868968464,3,1,15,2,,
1785645478.559,2.0,21085,xmrig,0.0,NONE,NONE,0,926,40,99,52,0,0,116,25,2,1,2,0,3,6,323931581,980,67,1,1,868968464,3,1,15,2,,
1785645479.566,3.1,21085,xmrig,0.0,NONE,NONE,0,1216,60,126,56,0,0,134,29,2,1,2,0,4,10,2782765979,2769,495,1,1,1410739020,16,10,37,6,,
1785645480.577,4.1,21085,xmrig,0.0,NONE,NONE,0,1379,60,126,56,0,0,134,29,2,1,2,0,4,10,5798781967,2771,1104,1,1,1410739020,16,10,37,6,,
1785645481.581,5.1,21085,xmrig,0.0,NONE,NONE,0,1517,60,126,56,0,0,134,29,2,1,2,0,4,10,8786407793,2815,5554,1,1,1410739020,16,10,37,6,,
1785645482.586,6.1,21085,xmrig,0.0,NONE,NONE,0,1667,60,126,56,0,0,134,29,2,1,2,0,4,10,11863292566,2816,6448,1,1,1410739020,16,10,37,6,,
1785645483.59,7.1,21085,xmrig,0.0,NONE,NONE,0,1817,60,126,56,0,0,134,29,2,1,2,0,4,10,14890282865,2823,7820,1,1,1410739020,16,10,37,6,,
1785645484.599,8.1,21085,xmrig,0.0,NONE,NONE,0,1971,60,126,56,0,0,134,29,2,1,2,0,4,10,17994110335,2823,8705,1,1,1410739020,16,10,37,6,,
1785645485.605,9.1,21085,xmrig,0.0,NONE,NONE,0,2124,60,126,56,0,0,134,29,2,1,2,0,4,10,21078573965,2828,9732,1,1,1410739020,16,10,37,6,,
1785645486.637,10.1,21085,xmrig,0.0,NONE,NONE,0,2189,60,126,56,0,0,134,29,2,1,2,0,4,10,24385140262,2842,10424,1,1,1410739020,16,10,37,6,,
1785645487.642,11.1,21085,xmrig,0.0,NONE,NONE,0,2312,60,126,56,0,0,134,29,2,1,2,0,4,10,27466533355,2844,11251,1,1,1410739020,16,10,37,6,,
1785645488.646,12.1,21085,xmrig,0.0,NONE,NONE,0,2466,60,126,56,0,0,134,29,2,1,2,0,4,10,30259056130,2845,12126,1,1,1410739020,16,10,37,6,,
1785645489.658,13.1,21085,xmrig,0.0,NONE,NONE,0,2617,60,126,56,0,0,134,29,2,1,2,0,4,10,33359321045,2845,12995,1,1,1410739020,16,10,37,6,,
1785645490.664,14.2,21085,xmrig,0.0,NONE,NONE,0,2771,60,126,56,0,0,134,29,2,1,2,0,4,10,36539851666,2848,14032,1,1,1410739020,16,10,37,6,,
