wall_time,elapsed_s,pid,comm,score,confidence,mitigation,ticks,total_syscalls,futex,mmap,mprotect,clone,nanosleep,read,write,socket_calls,connect,send,recv,brk,thread_count,on_cpu_ns,voluntary_switches,involuntary_switches,total_connections,mining_pool_hits,total_mmap_bytes,scratchpad_allocs,huge_page_requests,large_alloc_count,mprotect_large,cpu_percent,reasons
1785647247.26,1.0,28106,xmrig,0.0,NONE,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,203495428,14,10,1,1,868968464,3,1,15,2,,
1785647248.277,2.0,28106,xmrig,0.0,NONE,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2821287334,384,1023,1,1,1343630156,16,10,37,6,,
1785647249.308,3.1,28106,xmrig,0.0,NONE,NONE,0,1303,62,126,56,0,0,134,29,2,1,2,0,3,10,6393176177,386,3058,1,1,1343630156,16,10,37,6,,
1785647250.331,4.1,28106,xmrig,0.0,NONE,NONE,0,1512,62,126,56,0,0,134,29,2,1,2,0,3,10,9016476145,386,4310,1,1,1343630156,16,10,37,6,,
1785647251.353,5.1,28106,xmrig,0.0,NONE,NONE,0,1640,62,126,56,0,0,134,29,2,1,2,0,3,10,11862861919,387,5750,1,1,1343630156,16,10,37,6,,
1785647252.374,6.1,28106,xmrig,0.0,NONE,NONE,0,1773,62,126,56,0,0,134,29,2,1,2,0,3,10,14555713773,388,7083,1,1,1343630156,16,10,37,6,,
1785647253.393,7.1,28106,xmrig,0.0,NONE,NONE,0,1903,62,126,56,0,0,134,29,2,1,2,0,3,10,17557475223,391,8583,1,1,1343630156,16,10,37,6,,
1785647254.421,8.2,28106,xmrig,0.0,NONE,NONE,0,2025,62,126,56,0,0,134,29,2,1,2,0,3,10,20861131903,392,10246,1,1,1343630156,16,10,37,6,,
1785647255.448,9.2,28106,xmrig,0.0,NONE,NONE,0,2143,62,126,56,0,0,134,29,2,1,2,0,3,10,23811124837,393,11809,1,1,1343630156,16,10,37,6,,
1785647256.472,10.2,28106,xmrig,0.0,NONE,NONE,0,2293,62,126,56,0,0,134,29,2,1,2,0,3,10,26333509384,396,13207,1,1,1343630156,16,10,37,6,,
1785647257.49,11.2,28106,xmrig,0.0,NONE,NONE,0,2425,62,126,56,0,0,134,29,2,1,2,0,3,10,29334527754,398,14775,1,1,1343630156,16,10,37,6,,
1785647258.504,12.3,28106,xmrig,0.0,NONE,NONE,0,2556,62,126,56,0,0,134,29,2,1,2,0,3,10,32265808341,398,16207,1,1,1343630156,16,10,37,6,,
1785647259.526,13.3,28106,xmrig,0.0,NONE,NONE,0,2691,62,126,56,0,0,134,29,2,1,2,0,3,10,35240576974,400,17587,1,1,1343630156,16,10,37,6,,
1785647260.55,14.3,28106,xmrig,0.0,NONE,NONE,0,2823,62,126,56,0,0,134,29,2,1,2,0,3,10,38226048656,400,19049,1,1,1343630156,16,10,37,6,,
1785647261.567,15.3,28106,xmrig,0.0,NONE,NONE,0,2952,62,126,56,0,0,134,29,2,1,2,0,3,10,41122188716,402,20521,1,1,1343630156,16,10,37,6,,
1785647262.591,16.3,28106,xmrig,0.0,NONE,NONE,0,3083,62,126,56,0,0,134,29,2,1,2,0,3,10,43833491662,403,21913,1,1,1343630156,16,10,37,6,,
1785647263.608,17.4,28106,xmrig,0.0,NONE,NONE,0,3213,62,126,56,0,0,134,29,2,1,2,0,3,10,46837230524,403,23317,1,1,1343630156,16,10,37,6,,
1785647264.63,18.4,28106,xmrig,0.0,NONE,NONE,0,3345,62,126,56,0,0,134,29,2,1,2,0,3,10,49755004221,405,24713,1,1,1343630156,16,10,37,6,,
1785647265.645,19.4,28106,xmrig,0.0,NONE,NONE,0,3478,62,126,56,0,0,134,29,2,1,2,0,3,10,53136424250,406,26112,1,1,1343630156,16,10,37,6,,
1785647266.662,20.4,28106,xmrig,0.0,NONE,NONE,0,3626,62,126,56,0,0,134,29,2,1,2,0,3,10,55898627952,407,26932,1,1,1343630156,16,10,37,6,,
1785647267.679,21.4,28106,xmrig,0.0,NONE,NONE,0,3776,62,126,56,0,0,134,29,2,1,2,0,3,10,59141745647,408,27863,1,1,1343630156,16,10,37,6,,
1785647268.696,22.5,28106,xmrig,0.0,NONE,NONE,0,3925,62,126,56,0,0,134,29,2,1,2,0,3,10,62405326300,410,28825,1,1,1343630156,16,10,37,6,,
1785647269.712,23.5,28106,xmrig,0.0,NONE,NONE,0,4074,62,126,56,0,0,134,29,2,1,2,0,3,10,65863523937,411,30013,1,1,1343630156,16,10,37,6,,
1785647270.723,24.5,28106,xmrig,0.0,NONE,NONE,0,4204,62,126,56,0,0,134,29,2,1,2,0,3,10,68885994572,411,31002,1,1,1343630156,16,10,37,6,,
1785647271.754,25.5,28106,xmrig,0.0,NONE,NONE,0,4324,62,126,56,0,0,134,29,2,1,2,0,3,10,71964140680,411,32440,1,1,1343630156,16,10,37,6,,
1785647272.776,26.5,28106,xmrig,0.0,NONE,NONE,0,4457,62,126,56,0,0,134,29,2,1,2,0,3,10,74617237618,412,33932,1,1,1343630156,16,10,37,6,,
1785647273.844,27.6,28106,xmrig,0.0,NONE,NONE,0,4590,62,126,56,0,0,134,29,2,1,2,0,3,10,77588449914,413,35312,1,1,1343630156,16,10,37,6,,
1785647274.86,28.6,28106,xmrig,0.0,NONE,NONE,0,4721,62,126,56,0,0,134,29,2,1,2,0,3,10,80761155905,414,36927,1,1,1343630156,16,10,37,6,,
1785647275.881,29.6,28106,xmrig,0.0,NONE,NONE,0,4848,62,126,56,0,0,134,29,2,1,2,0,3,10,83529097554,417,38392,1,1,1343630156,16,10,37,6,,
1785647276.897,30.7,28106,xmrig,0.0,NONE,NONE,0,4973,62,126,56,0,0,134,29,2,1,2,0,3,10,86424814983,419,39772,1,1,1343630156,16,10,37,6,,
1785647277.914,31.7,28106,xmrig,0.0,NONE,NONE,0,5108,62,126,56,0,0,134,29,2,1,2,0,3,10,89265597105,419,41139,1,1,1343630156,16,10,37,6,,
1785647278.938,32.7,28106,xmrig,0.0,NONE,NONE,0,5239,62,126,56,0,0,134,29,2,1,2,0,3,10,92416055959,420,42639,1,1,1343630156,16,10,37,6,,
1785647279.952,33.7,28106,xmrig,0.0,NONE,NONE,0,5371,62,126,56,0,0,134,29,2,1,2,0,3,10,95232387936,420,44037,1,1,1343630156,16,10,37,6,,
1785647280.974,34.7,28106,xmrig,0.0,NONE,NONE,0,5495,62,126,56,0,0,134,29,2,1,2,0,3,10,98458947090,421,45667,1,1,1343630156,16,10,37,6,,
1785647281.989,35.7,28106,xmrig,0.0,NONE,NONE,0,5627,62,126,56,0,0,134,29,2,1,2,0,3,10,100937244971,421,47034,1,1,1343630156,16,10,37,6,,
1785647283.009,36.8,28106,xmrig,0.0,NONE,NONE,0,5760,62,126,56,0,0,134,29,2,1,2,0,3,10,103922264612,421,48409,1,1,1343630156,16,10,37,6,,
1785647284.029,37.8,28106,xmrig,0.0,NONE,NONE,0,5889,62,126,56,0,0,134,29,2,1,2,0,3,10,106768210869,423,49840,1,1,1343630156,16,10,37,6,,
1785647285.052,38.8,28106,xmrig,0.0,NONE,NONE,0,6022,62,126,56,0,0,134,29,2,1,2,0,3,10,109912215638,427,51315,1,1,1343630156,16,10,37,6,,
1785647286.075,39.8,28106,xmrig,0.0,NONE,NONE,0,6117,62,126,56,0,0,134,29,2,1,2,0,3,10,112146786764,428,52414,1,1,1343630156,16,10,37,6,,
1785647287.486,41.2,28106,xmrig,0.0,NONE,NONE,0,6218,62,126,56,0,0,134,29,2,1,2,0,3,10,116195875336,437,53600,1,1,1343630156,16,10,37,6,,
1785647288.516,42.3,28106,xmrig,0.0,NONE,NONE,0,6355,62,126,56,0,0,134,29,2,1,2,0,3,10,119436548044,438,54989,1,1,1343630156,16,10,37,6,,
1785647289.534,43.3,28106,xmrig,0.0,NONE,NONE,0,6487,62,126,56,0,0,134,29,2,1,2,0,3,10,122453748463,441,56443,1,1,1343630156,16,10,37,6,,
1785647290.552,44.3,28106,xmrig,0.0,NONE,NONE,0,6619,62,126,56,0,0,134,29,2,1,2,0,3,10,125400948475,444,57679,1,1,1343630156,16,10,37,6,,
1785647291.568,45.3,28106,xmrig,0.0,NONE,NONE,0,6748,62,126,56,0,0,134,29,2,1,2,0,3,10,128225361395,447,58977,1,1,1343630156,16,10,37,6,,
1785647292.584,46.3,28106,xmrig,0.0,NONE,NONE,0,6881,62,126,56,0,0,134,29,2,1,2,0,3,10,131305358604,450,60398,1,1,1343630156,16,10,37,6,,
1785647293.604,47.4,28106,xmrig,0.0,NONE,NONE,0,7011,62,126,56,0,0,134,29,2,1,2,0,3,10,134073259255,450,61782,1,1,1343630156,16,10,37,6,,
1785647294.621,48.4,28106,xmrig,0.0,NONE,NONE,0,7141,62,126,56,0,0,134,29,2,1,2,0,3,10,137133662628,450,63336,1,1,1343630156,16,10,37,6,,
1785647295.646,49.4,28106,xmrig,0.0,NONE,NONE,0,7264,62,126,56,0,0,134,29,2,1,2,0,3,10,139761160622,453,64750,1,1,1343630156,16,10,37,6,,
1785647296.671,50.4,28106,xmrig,0.0,NONE,NONE,0,7390,62,126,56,0,0,134,29,2,1,2,0,3,10,142648888156,456,66261,1,1,1343630156,16,10,37,6,,
1785647297.693,51.4,28106,xmrig,55.0,MEDIUM,THROTTLE,1,7495,62,126,56,0,0,134,29,2,1,2,0,3,10,145674565424,465,67812,1,1,1343630156,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 99% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785647298.702,52.5,28106,xmrig,55.0,MEDIUM,THROTTLE,1,7495,62,126,56,0,0,134,29,2,1,2,0,3,10,145952971241,503,67900,1,1,1343630156,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 99% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785647299.711,53.5,28106,xmrig,55.0,MEDIUM,THROTTLE,1,7495,62,126,56,0,0,134,29,2,1,2,0,3,10,146239960257,541,68002,1,1,1343630156,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 99% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785647300.719,54.5,28106,xmrig,55.0,MEDIUM,THROTTLE,1,7533,62,126,56,0,0,134,29,2,1,2,0,3,10,146576914526,586,68118,1,1,1343630156,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 99% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785647301.726,55.5,28106,xmrig,55.0,MEDIUM,THROTTLE,1,7533,62,126,56,0,0,134,29,2,1,2,0,3,10,146874305441,626,68214,1,1,1343630156,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 99% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785647302.742,56.5,28106,xmrig,55.0,MEDIUM,THROTTLE,1,7567,62,126,56,0,0,134,29,2,1,2,0,3,10,147176889823,666,68283,1,1,1343630156,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 99% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785647303.75,57.5,28106,xmrig,55.0,MEDIUM,THROTTLE,1,7567,62,126,56,0,0,134,29,2,1,2,0,3,10,147502153218,708,68412,1,1,1343630156,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 99% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
