wall_time,elapsed_s,pid,comm,score,confidence,mitigation,ticks,total_syscalls,futex,mmap,mprotect,clone,nanosleep,read,write,socket_calls,connect,send,recv,brk,thread_count,on_cpu_ns,voluntary_switches,involuntary_switches,total_connections,mining_pool_hits,total_mmap_bytes,scratchpad_allocs,huge_page_requests,large_alloc_count,mprotect_large,cpu_percent,reasons
1785787044.4,0.0,176606,chromium-browse,0.0,NONE,NONE,0,19283,1210,669,841,29,67,1510,150,18,8,19,15,20,47,1347337916,6878,1912,16,0,1585651440228,12,0,131,55,,
1785787045.42,1.0,176606,chromium-browse,0.0,NONE,NONE,0,40647,5636,937,1975,29,67,3023,1612,37,27,235,52,20,47,2480881672,7547,2070,16,0,1585651440228,12,0,131,55,,
1785787046.43,2.0,176606,chromium-browse,0.0,NONE,NONE,0,42107,6912,937,1976,29,67,3050,1637,37,27,238,52,20,47,3933314319,8340,2256,19,0,1585651440228,12,0,131,55,,
1785787047.443,3.0,176606,chromium-browse,0.0,NONE,NONE,0,48191,8493,949,2014,29,67,3174,1738,45,34,266,80,20,47,5176311017,9020,2390,22,0,1585651440228,12,0,131,55,,
1785787048.455,4.1,176606,chromium-browse,0.0,NONE,NONE,0,49538,9803,949,2018,29,67,3179,1741,45,34,266,80,20,47,6553069172,9717,2546,22,0,1585651440228,12,0,131,55,,
1785787049.465,5.1,176606,chromium-browse,0.0,NONE,NONE,0,50889,11104,949,2018,29,67,3188,1748,45,34,267,80,20,47,7862639333,10368,2655,22,0,1585651440228,12,0,131,55,,
1785787050.474,6.1,176606,chromium-browse,0.0,NONE,NONE,0,52303,12403,949,2019,29,67,3199,1759,45,34,268,80,20,47,9210762058,11036,2792,22,0,1585651440228,12,0,131,55,,
1785787051.485,7.1,176606,chromium-browse,0.0,NONE,NONE,0,53718,13690,953,2020,29,67,3212,1772,46,35,270,80,20,47,10541765447,11695,2932,22,0,1585651440228,12,0,131,55,,
1785787052.497,8.1,176606,chromium-browse,0.0,NONE,NONE,0,55009,14967,953,2028,29,67,3212,1772,46,35,270,80,20,47,11880455588,12340,3024,22,0,1585651440228,12,0,131,55,,
1785787053.506,9.1,176606,chromium-browse,15.0,NONE,NONE,0,56286,16244,953,2028,29,67,3212,1772,46,35,270,80,20,47,13210079029,12986,3114,22,0,1585651440228,12,0,131,55,0.0,"thread saturation: 47 threads = 4 logical CPUs; 12 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785787054.516,10.1,176606,chromium-browse,15.0,NONE,NONE,0,57621,17543,953,2033,29,67,3212,1776,46,35,270,80,20,47,14683460301,13724,3168,22,0,1585651440228,12,0,131,55,0.0,"thread saturation: 47 threads = 4 logical CPUs; 12 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785787055.525,11.1,176606,chromium-browse,15.0,NONE,NONE,0,58977,18833,953,2033,29,67,3215,1776,46,35,270,80,20,47,15866367073,14306,3213,22,0,1585651440228,12,0,131,55,0.0,"thread saturation: 47 threads = 4 logical CPUs; 12 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785787056.536,12.1,176606,chromium-browse,15.0,NONE,NONE,0,60267,20111,953,2037,29,67,3215,1776,46,35,270,80,20,47,17175793401,14965,3256,22,0,1585651440228,12,0,131,55,0.0,"thread saturation: 47 threads = 4 logical CPUs; 12 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785787057.548,13.2,176606,chromium-browse,15.0,NONE,NONE,0,61575,21405,953,2037,29,67,3215,1778,46,35,270,80,20,47,18498789457,15604,3305,22,0,1585651440228,12,0,131,55,0.0,"thread saturation: 47 threads = 4 logical CPUs; 12 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785787058.562,14.2,176606,chromium-browse,15.0,NONE,NONE,0,62845,22668,953,2040,29,67,3215,1778,46,35,270,80,20,47,20077064820,16368,3386,22,0,1585651440228,12,0,131,55,0.0,"thread saturation: 47 threads = 4 logical CPUs; 12 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785787059.571,15.2,176606,chromium-browse,15.0,NONE,NONE,0,64166,23955,953,2040,29,67,3222,1779,46,35,270,80,20,47,21264874640,16952,3514,22,0,1585651440228,12,0,131,55,0.0,"thread saturation: 47 threads = 4 logical CPUs; 12 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785787060.587,16.2,176606,chromium-browse,15.0,NONE,NONE,0,65476,25235,953,2046,29,67,3223,1780,46,35,270,80,20,47,22490010530,17540,3644,22,0,1585651440228,12,0,131,55,0.0,"thread saturation: 47 threads = 4 logical CPUs; 12 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785787061.601,17.2,176606,chromium-browse,15.0,NONE,NONE,0,66746,26495,953,2050,29,67,3223,1780,46,35,270,80,20,47,24076252410,18305,3781,22,0,1585651440228,12,0,131,55,0.0,"thread saturation: 47 threads = 4 logical CPUs; 12 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785787062.612,18.2,176606,chromium-browse,15.0,NONE,NONE,0,68012,27759,953,2050,29,67,3223,1780,46,35,270,80,20,47,25205286873,18840,3910,22,0,1585651440228,12,0,131,55,0.0,"thread saturation: 47 threads = 4 logical CPUs; 12 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785787063.622,19.2,176606,chromium-browse,15.0,NONE,NONE,0,69279,29018,953,2054,29,67,3223,1780,46,35,270,80,20,47,26530899063,19478,4053,22,0,1585651440228,12,0,131,55,0.0,"thread saturation: 47 threads = 4 logical CPUs; 12 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785787064.639,20.2,176606,chromium-browse,15.0,NONE,NONE,0,70552,30283,953,2058,29,67,3223,1780,46,35,270,80,20,47,27851901526,20114,4204,22,0,1585651440228,12,0,131,55,0.0,"thread saturation: 47 threads = 4 logical CPUs; 12 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785787065.651,21.3,176606,chromium-browse,15.0,NONE,NONE,0,71826,31548,953,2058,29,67,3223,1780,46,35,270,80,20,47,29197116777,20762,4346,22,0,1585651440228,12,0,131,55,0.0,"thread saturation: 47 threads = 4 logical CPUs; 12 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785787066.664,22.3,176606,chromium-browse,15.0,NONE,NONE,0,73087,32807,953,2058,29,67,3223,1780,46,35,270,80,20,47,30524345164,21400,4475,22,0,1585651440228,12,0,131,55,0.0,"thread saturation: 47 threads = 4 logical CPUs; 12 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785787067.673,23.3,176606,chromium-browse,15.0,NONE,NONE,0,74361,34081,953,2058,29,67,3223,1780,46,35,270,80,20,47,31873338693,22063,4604,22,0,1585651440228,12,0,131,55,0.0,"thread saturation: 47 threads = 4 logical CPUs; 12 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785787068.683,24.3,176606,chromium-browse,39.0,LOW,ALERT,1,75727,35356,955,2063,29,67,3230,1788,47,36,274,80,20,47,33195421330,22698,4696,22,0,1585651440228,12,0,131,55,131.9,"futex dominance 47% of all syscalls at 132% CPU (strong mining signal); thread saturation: 47 threads = 4 logical CPUs; sustained CPU 132%; 12 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785787069.693,25.3,176606,chromium-browse,39.0,LOW,ALERT,1,77008,36635,955,2063,29,67,3230,1788,47,36,274,80,20,47,34678507392,23425,4734,22,0,1585651440228,12,0,131,55,131.9,"futex dominance 47% of all syscalls at 132% CPU (strong mining signal); thread saturation: 47 threads = 4 logical CPUs; sustained CPU 132%; 12 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785787070.704,26.3,176606,chromium-browse,39.0,LOW,ALERT,1,78295,37913,955,2063,29,67,3230,1789,47,36,274,80,20,47,36006935497,24076,4772,22,0,1585651440228,12,0,131,55,131.9,"futex dominance 47% of all syscalls at 132% CPU (strong mining signal); thread saturation: 47 threads = 4 logical CPUs; sustained CPU 132%; 12 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785787071.714,27.3,176606,chromium-browse,39.0,LOW,ALERT,1,79608,39208,955,2072,29,67,3230,1789,47,36,274,80,20,47,37136249713,24626,4810,22,0,1585651440228,12,0,131,55,131.9,"futex dominance 47% of all syscalls at 132% CPU (strong mining signal); thread saturation: 47 threads = 4 logical CPUs; sustained CPU 132%; 12 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785787072.727,28.3,176606,chromium-browse,39.0,LOW,ALERT,1,80991,40564,956,2083,29,67,3230,1789,47,36,274,80,20,47,38499785319,25316,4846,22,0,1585651505764,12,0,131,55,131.9,"futex dominance 47% of all syscalls at 132% CPU (strong mining signal); thread saturation: 47 threads = 4 logical CPUs; sustained CPU 132%; 12 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
1785787073.736,29.3,176606,chromium-browse,39.0,LOW,ALERT,1,82222,41795,956,2083,29,67,3230,1789,47,36,274,80,20,47,39853798099,25963,4945,23,0,1585651505764,12,0,131,55,131.9,"futex dominance 47% of all syscalls at 132% CPU (strong mining signal); thread saturation: 47 threads = 4 logical CPUs; sustained CPU 132%; 12 × 2MB-aligned allocation(s) with no huge-page flag — weak signal, commonly shared with non-mining allocators"
