wall_time,elapsed_s,pid,comm,score,confidence,mitigation,ticks,total_syscalls,futex,mmap,mprotect,clone,nanosleep,read,write,socket_calls,connect,send,recv,brk,thread_count,on_cpu_ns,voluntary_switches,involuntary_switches,total_connections,mining_pool_hits,total_mmap_bytes,scratchpad_allocs,huge_page_requests,large_alloc_count,mprotect_large,cpu_percent,reasons
1785777287.614,0.0,160991,xmrig,0.0,NONE,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7703680,0,0,2,0,,
1785777288.621,1.0,160991,xmrig,0.0,NONE,NONE,0,1115,50,126,56,0,0,134,8,2,1,2,0,4,10,1804260900,23,325,1,1,1343630156,16,10,37,6,,
1785777289.626,2.0,160991,xmrig,0.0,NONE,NONE,0,1261,50,126,56,0,0,134,8,2,1,2,0,4,10,5306796445,24,1347,1,1,1343630156,16,10,37,6,,
1785777290.63,3.0,160991,xmrig,0.0,NONE,NONE,0,1406,50,126,56,0,0,134,8,2,1,2,0,4,10,8570584987,24,2275,1,1,1343630156,16,10,37,6,,
1785777291.636,4.0,160991,xmrig,0.0,NONE,NONE,0,1556,50,126,56,0,0,134,8,2,1,2,0,4,10,11271487595,25,2950,1,1,1343630156,16,10,37,6,,
1785777292.64,5.0,160991,xmrig,0.0,NONE,NONE,0,1708,50,126,56,0,0,134,8,2,1,2,0,4,10,15269519138,27,3949,1,1,1343630156,16,10,37,6,,
1785777293.646,6.0,160991,xmrig,0.0,NONE,NONE,0,1858,50,126,56,0,0,134,8,2,1,2,0,4,10,18583786394,27,4889,1,1,1343630156,16,10,37,6,,
1785777294.651,7.0,160991,xmrig,0.0,NONE,NONE,0,2016,50,126,56,0,0,134,8,2,1,2,0,4,10,22125949892,27,5695,1,1,1343630156,16,10,37,6,,
1785777295.655,8.0,160991,xmrig,0.0,NONE,NONE,0,2198,50,126,56,0,0,134,8,2,1,2,0,4,10,25988246447,29,6436,1,1,1343630156,16,10,37,6,,
1785777296.662,9.0,160991,xmrig,0.0,NONE,NONE,0,2378,50,126,56,0,0,134,8,2,1,2,0,4,10,29103564432,29,7034,1,1,1343630156,16,10,37,6,,
1785777297.667,10.1,160991,xmrig,0.0,NONE,NONE,0,2546,50,126,56,0,0,134,8,2,1,2,0,4,10,33467220519,32,7959,1,1,1343630156,16,10,37,6,,
1785777298.671,11.1,160991,xmrig,0.0,NONE,NONE,0,2718,50,126,56,0,0,134,8,2,1,2,0,4,10,36449949713,33,8728,1,1,1343630156,16,10,37,6,,
1785777299.677,12.1,160991,xmrig,0.0,NONE,NONE,0,2890,50,126,56,0,0,134,8,2,1,2,0,4,10,40907346182,36,9721,1,1,1343630156,16,10,37,6,,
1785777300.685,13.1,160991,xmrig,0.0,NONE,NONE,0,3038,50,126,56,0,0,134,8,2,1,2,0,4,10,43605444465,38,10448,1,1,1343630156,16,10,37,6,,
1785777301.689,14.1,160991,xmrig,0.0,NONE,NONE,0,3183,50,126,56,0,0,134,8,2,1,2,0,4,10,47252568986,38,11500,1,1,1343630156,16,10,37,6,,
1785777302.696,15.1,160991,xmrig,0.0,NONE,NONE,0,3332,50,126,56,0,0,134,8,2,1,2,0,4,10,50875879608,39,12274,1,1,1343630156,16,10,37,6,,
1785777303.701,16.1,160991,xmrig,0.0,NONE,NONE,0,3475,50,126,56,0,0,134,8,2,1,2,0,4,10,54180440166,40,13165,1,1,1343630156,16,10,37,6,,
1785777304.705,17.1,160991,xmrig,0.0,NONE,NONE,0,3627,50,126,56,0,0,134,8,2,1,2,0,4,10,56892187351,41,13956,1,1,1343630156,16,10,37,6,,
1785777305.711,18.1,160991,xmrig,0.0,NONE,NONE,0,3778,50,126,56,0,0,134,8,2,1,2,0,4,10,60843117986,42,15117,1,1,1343630156,16,10,37,6,,
1785777306.714,19.1,160991,xmrig,0.0,NONE,NONE,0,3928,50,126,56,0,0,134,8,2,1,2,0,4,10,64259352600,47,15947,1,1,1343630156,16,10,37,6,,
1785777307.72,20.1,160991,xmrig,0.0,NONE,NONE,0,4079,50,126,56,0,0,134,8,2,1,2,0,4,10,67531009562,51,16746,1,1,1343630156,16,10,37,6,,
1785777308.728,21.1,160991,xmrig,0.0,NONE,NONE,0,4204,50,126,56,0,0,134,8,2,1,2,0,4,10,70751758619,59,17482,1,1,1343630156,16,10,37,6,,
1785777309.733,22.1,160991,xmrig,0.0,NONE,NONE,0,4354,50,126,56,0,0,134,8,2,1,2,0,4,10,74128061986,59,18394,1,1,1343630156,16,10,37,6,,
1785777310.737,23.1,160991,xmrig,0.0,NONE,NONE,0,4506,50,126,56,0,0,134,8,2,1,2,0,4,10,76839681671,59,18920,1,1,1343630156,16,10,37,6,,
1785777311.745,24.1,160991,xmrig,0.0,NONE,NONE,0,4657,50,126,56,0,0,134,8,2,1,2,0,4,10,80615890763,63,19830,1,1,1343630156,16,10,37,6,,
1785777312.747,25.1,160991,xmrig,0.0,NONE,NONE,0,4799,50,126,56,0,0,134,8,2,1,2,0,4,10,83438909284,64,20641,1,1,1343630156,16,10,37,6,,
1785777313.753,26.1,160991,xmrig,0.0,NONE,NONE,0,4937,50,126,56,0,0,134,8,2,1,2,0,4,10,87309184048,67,21796,1,1,1343630156,16,10,37,6,,
1785777314.761,27.1,160991,xmrig,55.0,MEDIUM,THROTTLE,1,5011,50,126,56,0,0,134,8,2,1,2,0,4,10,88388722075,91,22097,1,1,1343630156,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 100% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785777315.766,28.2,160991,xmrig,55.0,MEDIUM,THROTTLE,1,5018,50,126,56,0,0,134,8,2,1,2,0,4,10,88687656798,131,22178,1,1,1343630156,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 100% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
