wall_time,elapsed_s,pid,comm,score,confidence,mitigation,ticks,total_syscalls,futex,mmap,mprotect,clone,nanosleep,read,write,socket_calls,connect,send,recv,brk,thread_count,on_cpu_ns,voluntary_switches,involuntary_switches,total_connections,mining_pool_hits,total_mmap_bytes,scratchpad_allocs,huge_page_requests,large_alloc_count,mprotect_large,cpu_percent,reasons
1785786604.94,1.0,175529,xmrig,0.0,NONE,NONE,0,1084,58,127,56,0,0,134,8,2,1,2,0,4,10,1487715625,32,362,1,1,1411005260,16,10,37,6,,
1785786605.959,2.0,175529,xmrig,0.0,NONE,NONE,0,1229,58,127,56,0,0,134,8,2,1,2,0,4,10,5249585746,33,1478,1,1,1411005260,16,10,37,6,,
1785786606.984,3.0,175529,xmrig,0.0,NONE,NONE,0,1373,58,127,56,0,0,134,8,2,1,2,0,4,10,8787748270,34,2483,1,1,1411005260,16,10,37,6,,
1785786608.005,4.1,175529,xmrig,0.0,NONE,NONE,0,1519,58,127,56,0,0,134,8,2,1,2,0,4,10,11579038088,39,3207,1,1,1411005260,16,10,37,6,,
1785786609.022,5.1,175529,xmrig,0.0,NONE,NONE,0,1639,58,127,56,0,0,134,8,2,1,2,0,4,10,14867706442,39,4164,1,1,1411005260,16,10,37,6,,
1785786610.037,6.1,175529,xmrig,0.0,NONE,NONE,0,1784,58,127,56,0,0,134,8,2,1,2,0,4,10,18197903752,40,4949,1,1,1411005260,16,10,37,6,,
1785786611.057,7.1,175529,xmrig,0.0,NONE,NONE,0,1920,58,127,56,0,0,134,8,2,1,2,0,4,10,21477605338,40,5831,1,1,1411005260,16,10,37,6,,
1785786612.072,8.1,175529,xmrig,0.0,NONE,NONE,0,2064,58,127,56,0,0,134,8,2,1,2,0,4,10,24858985042,41,6727,1,1,1411005260,16,10,37,6,,
1785786613.091,9.2,175529,xmrig,0.0,NONE,NONE,0,2208,58,127,56,0,0,134,8,2,1,2,0,4,10,28172599705,43,7647,1,1,1411005260,16,10,37,6,,
1785786614.108,10.2,175529,xmrig,0.0,NONE,NONE,0,2354,58,127,56,0,0,134,8,2,1,2,0,4,10,31494838999,43,8494,1,1,1411005260,16,10,37,6,,
