wall_time,elapsed_s,pid,comm,score,confidence,mitigation,ticks,total_syscalls,futex,mmap,mprotect,clone,nanosleep,read,write,socket_calls,connect,send,recv,brk,thread_count,on_cpu_ns,voluntary_switches,involuntary_switches,total_connections,mining_pool_hits,total_mmap_bytes,scratchpad_allocs,huge_page_requests,large_alloc_count,mprotect_large,cpu_percent,reasons
1785766766.574,1.2,84093,xmrig,0.0,NONE,NONE,0,911,41,100,52,0,0,116,7,2,1,2,0,3,6,0,0,0,1,1,869234704,3,1,15,2,,
1785766766.574,1.2,84092,xmrig,0.0,NONE,NONE,0,911,41,100,52,0,0,116,7,2,1,2,0,3,6,0,0,0,1,1,869234704,3,1,15,2,,
1785766767.66,2.4,84093,xmrig,0.0,NONE,NONE,0,964,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766767.66,2.4,84092,xmrig,0.0,NONE,NONE,0,913,41,100,52,0,0,116,7,2,1,2,0,3,6,0,0,0,1,1,869234704,3,1,15,2,,
1785766768.735,3.5,84093,xmrig,0.0,NONE,NONE,0,991,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766768.735,3.5,84092,xmrig,0.0,NONE,NONE,0,976,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766769.817,4.6,84093,xmrig,0.0,NONE,NONE,0,1013,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766769.817,4.6,84092,xmrig,0.0,NONE,NONE,0,1000,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766770.875,5.6,84093,xmrig,0.0,NONE,NONE,0,1036,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766770.875,5.6,84092,xmrig,0.0,NONE,NONE,0,1030,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766771.931,6.7,84093,xmrig,0.0,NONE,NONE,0,1071,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766771.931,6.7,84092,xmrig,0.0,NONE,NONE,0,1064,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766772.987,7.8,84093,xmrig,0.0,NONE,NONE,0,1103,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766772.987,7.8,84092,xmrig,0.0,NONE,NONE,0,1095,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766774.062,8.8,84093,xmrig,0.0,NONE,NONE,0,1137,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766774.062,8.8,84092,xmrig,0.0,NONE,NONE,0,1126,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766775.164,9.9,84093,xmrig,0.0,NONE,NONE,0,1167,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766775.164,9.9,84092,xmrig,0.0,NONE,NONE,0,1159,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766776.238,11.0,84093,xmrig,0.0,NONE,NONE,0,1194,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766776.238,11.0,84092,xmrig,0.0,NONE,NONE,0,1174,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766777.284,12.1,84093,xmrig,0.0,NONE,NONE,0,1230,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766777.284,12.1,84092,xmrig,0.0,NONE,NONE,0,1203,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766778.394,13.1,84093,xmrig,0.0,NONE,NONE,0,1267,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766778.394,13.1,84092,xmrig,0.0,NONE,NONE,0,1239,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766779.518,14.2,84093,xmrig,0.0,NONE,NONE,0,1301,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766779.518,14.2,84092,xmrig,0.0,NONE,NONE,0,1265,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766780.56,15.3,84093,xmrig,0.0,NONE,NONE,0,1343,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766780.56,15.3,84092,xmrig,0.0,NONE,NONE,0,1305,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766781.635,16.4,84093,xmrig,0.0,NONE,NONE,0,1384,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766781.635,16.4,84092,xmrig,0.0,NONE,NONE,0,1348,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766782.677,17.5,84093,xmrig,0.0,NONE,NONE,0,1464,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766782.677,17.5,84092,xmrig,0.0,NONE,NONE,0,1434,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766783.735,18.5,84093,xmrig,0.0,NONE,NONE,0,1503,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766783.735,18.5,84092,xmrig,0.0,NONE,NONE,0,1474,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766784.829,19.6,84093,xmrig,0.0,NONE,NONE,0,1534,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766784.829,19.6,84092,xmrig,0.0,NONE,NONE,0,1506,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766785.873,20.7,84093,xmrig,0.0,NONE,NONE,0,1567,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766785.873,20.7,84092,xmrig,0.0,NONE,NONE,0,1539,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766786.939,21.7,84093,xmrig,0.0,NONE,NONE,0,1602,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766786.939,21.7,84092,xmrig,0.0,NONE,NONE,0,1570,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766787.993,22.8,84093,xmrig,0.0,NONE,NONE,0,1635,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766787.993,22.8,84092,xmrig,0.0,NONE,NONE,0,1605,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766789.035,23.8,84093,xmrig,0.0,NONE,NONE,0,1673,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766789.035,23.8,84092,xmrig,0.0,NONE,NONE,0,1637,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766790.089,24.9,84093,xmrig,0.0,NONE,NONE,0,1709,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766790.089,24.9,84092,xmrig,0.0,NONE,NONE,0,1665,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766791.146,25.9,84093,xmrig,0.0,NONE,NONE,0,1744,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766791.146,25.9,84092,xmrig,0.0,NONE,NONE,0,1699,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766792.202,27.0,84093,xmrig,0.0,NONE,NONE,0,1778,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766792.202,27.0,84092,xmrig,0.0,NONE,NONE,0,1724,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766793.252,28.0,84093,xmrig,0.0,NONE,NONE,0,1806,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766793.252,28.0,84092,xmrig,0.0,NONE,NONE,0,1762,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766794.315,29.1,84093,xmrig,0.0,NONE,NONE,0,1829,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766794.315,29.1,84092,xmrig,0.0,NONE,NONE,0,1796,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766795.371,30.1,84093,xmrig,0.0,NONE,NONE,0,1860,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766795.371,30.1,84092,xmrig,0.0,NONE,NONE,0,1834,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766796.412,31.2,84093,xmrig,0.0,NONE,NONE,0,1893,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766796.412,31.2,84092,xmrig,0.0,NONE,NONE,0,1869,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766797.452,32.2,84093,xmrig,0.0,NONE,NONE,0,1929,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766797.452,32.2,84092,xmrig,0.0,NONE,NONE,0,1900,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766798.495,33.3,84093,xmrig,0.0,NONE,NONE,0,1964,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766798.495,33.3,84092,xmrig,0.0,NONE,NONE,0,1933,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766799.553,34.3,84093,xmrig,0.0,NONE,NONE,0,1995,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766799.553,34.3,84092,xmrig,0.0,NONE,NONE,0,1965,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766800.599,35.4,84093,xmrig,0.0,NONE,NONE,0,2025,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766800.599,35.4,84092,xmrig,0.0,NONE,NONE,0,2000,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,,
1785766801.627,36.4,84093,xmrig,55.0,MEDIUM,THROTTLE,1,2053,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,0.0,thread saturation: 7 threads = 4 logical CPUs; RandomX signature: 4 × 2MB scratchpad allocation(s) backed by huge pages (14 MB total) — strong evidence; MAP_HUGETLB requested (4 times); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785766801.627,36.4,84092,xmrig,55.0,MEDIUM,THROTTLE,1,2036,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,0.0,thread saturation: 7 threads = 4 logical CPUs; RandomX signature: 4 × 2MB scratchpad allocation(s) backed by huge pages (14 MB total) — strong evidence; MAP_HUGETLB requested (4 times); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785766802.826,37.4,84093,xmrig,55.0,MEDIUM,THROTTLE,1,2075,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,0.0,thread saturation: 7 threads = 4 logical CPUs; RandomX signature: 4 × 2MB scratchpad allocation(s) backed by huge pages (14 MB total) — strong evidence; MAP_HUGETLB requested (4 times); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785766802.826,37.4,84092,xmrig,55.0,MEDIUM,THROTTLE,1,2059,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,0.0,thread saturation: 7 threads = 4 logical CPUs; RandomX signature: 4 × 2MB scratchpad allocation(s) backed by huge pages (14 MB total) — strong evidence; MAP_HUGETLB requested (4 times); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785766803.878,38.6,84093,xmrig,55.0,MEDIUM,THROTTLE,1,2087,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,0.0,thread saturation: 7 threads = 4 logical CPUs; RandomX signature: 4 × 2MB scratchpad allocation(s) backed by huge pages (14 MB total) — strong evidence; MAP_HUGETLB requested (4 times); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785766803.878,38.6,84092,xmrig,55.0,MEDIUM,THROTTLE,1,2068,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,0.0,thread saturation: 7 threads = 4 logical CPUs; RandomX signature: 4 × 2MB scratchpad allocation(s) backed by huge pages (14 MB total) — strong evidence; MAP_HUGETLB requested (4 times); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785766805.14,39.7,84093,xmrig,55.0,MEDIUM,THROTTLE,1,2093,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,0.0,thread saturation: 7 threads = 4 logical CPUs; RandomX signature: 4 × 2MB scratchpad allocation(s) backed by huge pages (14 MB total) — strong evidence; MAP_HUGETLB requested (4 times); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785766805.14,39.7,84092,xmrig,55.0,MEDIUM,THROTTLE,1,2074,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,0.0,thread saturation: 7 threads = 4 logical CPUs; RandomX signature: 4 × 2MB scratchpad allocation(s) backed by huge pages (14 MB total) — strong evidence; MAP_HUGETLB requested (4 times); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785766806.169,41.0,84093,xmrig,55.0,MEDIUM,THROTTLE,1,2100,45,109,53,0,0,122,8,2,1,2,0,3,7,0,0,0,1,1,957560360,7,4,22,3,0.0,thread saturation: 7 threads = 4 logical CPUs; RandomX signature: 4 × 2MB scratchpad allocation(s) backed by huge pages (14 MB total) — strong evidence; MAP_HUGETLB requested (4 times); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
