wall_time,elapsed_s,pid,comm,score,confidence,mitigation,ticks,total_syscalls,futex,mmap,mprotect,clone,nanosleep,read,write,socket_calls,connect,send,recv,brk,thread_count,on_cpu_ns,voluntary_switches,involuntary_switches,total_connections,mining_pool_hits,total_mmap_bytes,scratchpad_allocs,huge_page_requests,large_alloc_count,mprotect_large,cpu_percent,reasons
1785746313.326,1.0,76956,xmrig,0.0,NONE,NONE,0,828,25,94,51,0,0,114,5,1,0,2,0,3,3,0,0,0,0,0,858382108,7,4,18,2,,
1785746314.347,2.1,76956,xmrig,0.0,NONE,NONE,0,881,26,103,52,0,0,120,6,1,0,2,0,3,3,0,0,0,0,0,858382108,7,4,18,2,,
1785746315.368,3.1,76956,xmrig,0.0,NONE,NONE,0,884,26,103,52,0,0,120,6,1,0,2,0,3,3,0,0,0,0,0,858382108,7,4,18,2,,
1785746316.389,4.1,76956,xmrig,0.0,NONE,NONE,0,887,26,103,52,0,0,120,6,1,0,2,0,3,3,0,0,0,0,0,858382108,7,4,18,2,,
1785746317.41,5.1,76956,xmrig,0.0,NONE,NONE,0,890,26,103,52,0,0,120,6,1,0,2,0,3,3,0,0,0,0,0,858382108,7,4,18,2,,
1785746318.43,6.1,76956,xmrig,0.0,NONE,NONE,0,893,26,103,52,0,0,120,6,1,0,2,0,3,3,0,0,0,0,0,858382108,7,4,18,2,,
1785746319.45,7.2,76956,xmrig,0.0,NONE,NONE,0,896,26,103,52,0,0,120,6,1,0,2,0,3,3,0,0,0,0,0,858382108,7,4,18,2,,
1785746320.472,8.2,76956,xmrig,0.0,NONE,NONE,0,899,26,103,52,0,0,120,6,1,0,2,0,3,3,0,0,0,0,0,858382108,7,4,18,2,,
1785746321.492,9.2,76956,xmrig,0.0,NONE,NONE,0,902,26,103,52,0,0,120,6,1,0,2,0,3,3,0,0,0,0,0,858382108,7,4,18,2,,
1785746322.511,10.2,76956,xmrig,0.0,NONE,NONE,0,905,26,103,52,0,0,120,6,1,0,2,0,3,3,0,0,0,0,0,858382108,7,4,18,2,,
1785746323.532,11.2,76956,xmrig,0.0,NONE,NONE,0,908,26,103,52,0,0,120,6,1,0,2,0,3,3,0,0,0,0,0,858382108,7,4,18,2,,
1785746324.554,12.3,76956,xmrig,0.0,NONE,NONE,0,911,26,103,52,0,0,120,6,1,0,2,0,3,3,0,0,0,0,0,858382108,7,4,18,2,,
1785746325.578,13.3,76956,xmrig,0.0,NONE,NONE,0,914,26,103,52,0,0,120,6,1,0,2,0,3,3,0,0,0,0,0,858382108,7,4,18,2,,
1785746326.601,14.3,76956,xmrig,0.0,NONE,NONE,0,917,26,103,52,0,0,120,6,1,0,2,0,3,3,0,0,0,0,0,858382108,7,4,18,2,,
1785746327.622,15.3,76956,xmrig,0.0,NONE,NONE,0,920,26,103,52,0,0,120,6,1,0,2,0,3,3,0,0,0,0,0,858382108,7,4,18,2,,
1785746328.645,16.4,76956,xmrig,0.0,NONE,NONE,0,923,26,103,52,0,0,120,6,1,0,2,0,3,3,0,0,0,0,0,858382108,7,4,18,2,,
1785746329.664,17.4,76956,xmrig,0.0,NONE,NONE,0,926,26,103,52,0,0,120,6,1,0,2,0,3,3,0,0,0,0,0,858382108,7,4,18,2,,
