wall_time,elapsed_s,pid,comm,score,confidence,mitigation,ticks,total_syscalls,futex,mmap,mprotect,clone,nanosleep,read,write,socket_calls,connect,send,recv,brk,thread_count,on_cpu_ns,voluntary_switches,involuntary_switches,total_connections,mining_pool_hits,total_mmap_bytes,scratchpad_allocs,huge_page_requests,large_alloc_count,mprotect_large,cpu_percent,reasons
1785784954.546,0.0,170605,xmrig,0.0,NONE,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15856224,0,0,4,0,,
1785784955.561,1.0,170605,xmrig,0.0,NONE,NONE,0,1117,57,126,56,0,0,134,8,2,1,2,0,3,10,1887376908,22,571,1,1,1343630156,16,10,37,6,,
1785784956.57,2.0,170605,xmrig,0.0,NONE,NONE,0,1285,57,126,56,0,0,134,8,2,1,2,0,3,10,6317147007,39,2608,1,1,1343630156,16,10,37,6,,
1785784957.577,3.0,170605,xmrig,0.0,NONE,NONE,0,1459,57,126,56,0,0,134,8,2,1,2,0,3,10,9393243763,42,3303,1,1,1343630156,16,10,37,6,,
1785784958.584,4.0,170605,xmrig,0.0,NONE,NONE,0,1630,57,126,56,0,0,134,8,2,1,2,0,3,10,13249256518,43,4082,1,1,1343630156,16,10,37,6,,
1785784959.592,5.0,170605,xmrig,0.0,NONE,NONE,0,1806,57,126,56,0,0,134,8,2,1,2,0,3,10,17097059940,45,4919,1,1,1343630156,16,10,37,6,,
1785784960.598,6.1,170605,xmrig,0.0,NONE,NONE,0,1975,57,126,56,0,0,134,8,2,1,2,0,3,10,21378787961,47,6011,1,1,1343630156,16,10,37,6,,
1785784961.605,7.1,170605,xmrig,0.0,NONE,NONE,0,2125,57,126,56,0,0,134,8,2,1,2,0,3,10,24093166469,49,6670,1,1,1343630156,16,10,37,6,,
1785784962.615,8.1,170605,xmrig,0.0,NONE,NONE,0,2274,57,126,56,0,0,134,8,2,1,2,0,3,10,27430843577,52,7434,1,1,1343630156,16,10,37,6,,
1785784963.622,9.1,170605,xmrig,0.0,NONE,NONE,0,2405,57,126,56,0,0,134,8,2,1,2,0,3,10,30750222144,55,8160,1,1,1343630156,16,10,37,6,,
1785784964.635,10.1,170605,xmrig,0.0,NONE,NONE,0,2537,57,126,56,0,0,134,8,2,1,2,0,3,10,33742760853,55,8848,1,1,1343630156,16,10,37,6,,
1785784965.641,11.1,170605,xmrig,0.0,NONE,NONE,0,2685,57,126,56,0,0,134,8,2,1,2,0,3,10,37067498502,58,9580,1,1,1343630156,16,10,37,6,,
1785784966.648,12.1,170605,xmrig,0.0,NONE,NONE,0,2830,57,126,56,0,0,134,8,2,1,2,0,3,10,40450690071,58,10365,1,1,1343630156,16,10,37,6,,
1785784967.654,13.1,170605,xmrig,0.0,NONE,NONE,0,2977,57,126,56,0,0,134,8,2,1,2,0,3,10,43761751987,62,11164,1,1,1343630156,16,10,37,6,,
1785784968.661,14.1,170605,xmrig,0.0,NONE,NONE,0,3125,57,126,56,0,0,134,8,2,1,2,0,3,10,47051981013,63,11945,1,1,1343630156,16,10,37,6,,
1785784969.896,15.3,170605,xmrig,0.0,NONE,NONE,0,3243,57,126,56,0,0,134,8,2,1,2,0,3,10,51137854568,65,12653,1,1,1343630156,16,10,37,6,,
1785784970.904,16.4,170605,xmrig,0.0,NONE,NONE,0,3278,57,126,56,0,0,134,8,2,1,2,0,3,10,53668370659,109,13165,1,1,1343630156,16,10,37,6,,
1785784971.91,17.4,170605,xmrig,0.0,NONE,NONE,0,3415,57,126,56,0,0,134,8,2,1,2,0,3,10,56793621682,110,13893,1,1,1343630156,16,10,37,6,,
