wall_time,elapsed_s,pid,comm,score,confidence,mitigation,ticks,total_syscalls,futex,mmap,mprotect,clone,nanosleep,read,write,socket_calls,connect,send,recv,brk,thread_count,on_cpu_ns,voluntary_switches,involuntary_switches,total_connections,mining_pool_hits,total_mmap_bytes,scratchpad_allocs,huge_page_requests,large_alloc_count,mprotect_large,cpu_percent,reasons
1785785297.215,1.0,171557,svchost,0.0,NONE,NONE,0,897,39,99,52,0,0,116,7,2,1,2,0,3,10,1874451732,66,416,1,1,1410739020,16,10,37,6,,
1785785298.229,2.0,171557,svchost,0.0,NONE,NONE,0,1179,56,126,56,0,0,134,8,2,1,2,0,4,10,4935432881,66,1323,1,1,1410739020,16,10,37,6,,
1785785299.239,3.0,171557,svchost,0.0,NONE,NONE,0,1323,56,126,56,0,0,134,8,2,1,2,0,4,10,8527657706,67,2238,1,1,1410739020,16,10,37,6,,
1785785300.252,4.0,171557,svchost,0.0,NONE,NONE,0,1469,56,126,56,0,0,134,8,2,1,2,0,4,10,11280812953,67,2980,1,1,1410739020,16,10,37,6,,
1785785301.259,5.1,171557,svchost,0.0,NONE,NONE,0,1616,56,126,56,0,0,134,8,2,1,2,0,4,10,14519636130,69,4297,1,1,1410739020,16,10,37,6,,
1785785302.268,6.1,171557,svchost,0.0,NONE,NONE,0,1750,56,126,56,0,0,134,8,2,1,2,0,4,10,18228241722,72,5716,1,1,1410739020,16,10,37,6,,
1785785303.276,7.1,171557,svchost,0.0,NONE,NONE,0,1892,56,126,56,0,0,134,8,2,1,2,0,4,10,20958255383,74,6695,1,1,1410739020,16,10,37,6,,
1785785304.288,8.1,171557,svchost,0.0,NONE,NONE,0,2044,56,126,56,0,0,134,8,2,1,2,0,4,10,24969965333,75,7668,1,1,1410739020,16,10,37,6,,
1785785305.302,9.1,171557,svchost,0.0,NONE,NONE,0,2195,56,126,56,0,0,134,8,2,1,2,0,4,10,28343672809,76,8380,1,1,1410739020,16,10,37,6,,
1785785306.313,10.1,171557,svchost,0.0,NONE,NONE,0,2345,56,126,56,0,0,134,8,2,1,2,0,4,10,31065987882,77,8966,1,1,1410739020,16,10,37,6,,
1785785307.322,11.1,171557,svchost,0.0,NONE,NONE,0,2492,56,126,56,0,0,134,8,2,1,2,0,4,10,34124414180,78,9852,1,1,1410739020,16,10,37,6,,
1785785308.332,12.1,171557,svchost,0.0,NONE,NONE,0,2627,56,126,56,0,0,134,8,2,1,2,0,4,10,37486380899,79,10793,1,1,1410739020,16,10,37,6,,
1785785309.343,13.1,171557,svchost,0.0,NONE,NONE,0,2770,56,126,56,0,0,134,8,2,1,2,0,4,10,40614010656,80,11892,1,1,1410739020,16,10,37,6,,
1785785310.351,14.1,171557,svchost,0.0,NONE,NONE,0,2907,56,126,56,0,0,134,8,2,1,2,0,4,10,43917849246,80,12833,1,1,1410739020,16,10,37,6,,
1785785311.362,15.2,171557,svchost,0.0,NONE,NONE,0,3055,56,126,56,0,0,134,8,2,1,2,0,4,10,47267872625,80,13618,1,1,1410739020,16,10,37,6,,
1785785312.373,16.2,171557,svchost,0.0,NONE,NONE,0,3203,56,126,56,0,0,134,8,2,1,2,0,4,10,51004167109,82,14624,1,1,1410739020,16,10,37,6,,
1785785313.381,17.2,171557,svchost,0.0,NONE,NONE,0,3351,56,126,56,0,0,134,8,2,1,2,0,4,10,53898404525,83,15337,1,1,1410739020,16,10,37,6,,
1785785314.391,18.2,171557,svchost,0.0,NONE,NONE,0,3499,56,126,56,0,0,134,8,2,1,2,0,4,10,57778907518,86,16294,1,1,1410739020,16,10,37,6,,
1785785315.408,19.2,171557,svchost,0.0,NONE,NONE,0,3647,56,126,56,0,0,134,8,2,1,2,0,4,10,61214228256,90,17231,1,1,1410739020,16,10,37,6,,
