wall_time,elapsed_s,pid,comm,score,confidence,mitigation,ticks,total_syscalls,futex,mmap,mprotect,clone,nanosleep,read,write,socket_calls,connect,send,recv,brk,thread_count,on_cpu_ns,voluntary_switches,involuntary_switches,total_connections,mining_pool_hits,total_mmap_bytes,scratchpad_allocs,huge_page_requests,large_alloc_count,mprotect_large,cpu_percent,reasons
1785746971.638,1.0,77946,xmrig_packed,0.0,NONE,NONE,0,1133,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746972.688,2.1,77946,xmrig_packed,0.0,NONE,NONE,0,1260,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746973.741,3.1,77946,xmrig_packed,0.0,NONE,NONE,0,1409,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746974.782,4.2,77946,xmrig_packed,0.0,NONE,NONE,0,1559,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746975.827,5.2,77946,xmrig_packed,0.0,NONE,NONE,0,1700,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746976.866,6.3,77946,xmrig_packed,0.0,NONE,NONE,0,1850,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746977.917,7.3,77946,xmrig_packed,0.0,NONE,NONE,0,1998,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746978.956,8.4,77946,xmrig_packed,0.0,NONE,NONE,0,2148,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746980.002,9.4,77946,xmrig_packed,0.0,NONE,NONE,0,2296,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746981.04,10.5,77946,xmrig_packed,0.0,NONE,NONE,0,2439,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746982.08,11.5,77946,xmrig_packed,0.0,NONE,NONE,0,2584,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746983.121,12.5,77946,xmrig_packed,0.0,NONE,NONE,0,2732,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746984.161,13.6,77946,xmrig_packed,0.0,NONE,NONE,0,2886,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746985.209,14.6,77946,xmrig_packed,0.0,NONE,NONE,0,3036,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746986.245,15.7,77946,xmrig_packed,0.0,NONE,NONE,0,3185,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746987.283,16.7,77946,xmrig_packed,0.0,NONE,NONE,0,3331,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746988.329,17.7,77946,xmrig_packed,0.0,NONE,NONE,0,3481,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746989.376,18.8,77946,xmrig_packed,0.0,NONE,NONE,0,3630,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746990.457,19.8,77946,xmrig_packed,0.0,NONE,NONE,0,3780,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746991.542,20.9,77946,xmrig_packed,0.0,NONE,NONE,0,3919,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746992.59,22.0,77946,xmrig_packed,0.0,NONE,NONE,0,4213,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746993.631,23.0,77946,xmrig_packed,0.0,NONE,NONE,0,4401,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746994.673,24.1,77946,xmrig_packed,0.0,NONE,NONE,0,4589,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746995.709,25.1,77946,xmrig_packed,0.0,NONE,NONE,0,4779,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746996.745,26.2,77946,xmrig_packed,0.0,NONE,NONE,0,4949,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746997.782,27.2,77946,xmrig_packed,0.0,NONE,NONE,0,5109,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746998.822,28.2,77946,xmrig_packed,0.0,NONE,NONE,0,5268,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785746999.859,29.3,77946,xmrig_packed,0.0,NONE,NONE,0,5427,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785747000.903,30.3,77946,xmrig_packed,0.0,NONE,NONE,0,5578,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785747001.945,31.4,77946,xmrig_packed,0.0,NONE,NONE,0,5736,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
1785747002.985,32.4,77946,xmrig_packed,0.0,NONE,NONE,0,5897,45,136,59,0,0,135,8,2,1,2,0,4,10,0,0,0,1,1,1352097948,16,10,39,7,,
