wall_time,elapsed_s,pid,comm,score,confidence,mitigation,ticks,total_syscalls,futex,mmap,mprotect,clone,nanosleep,read,write,socket_calls,connect,send,recv,brk,thread_count,on_cpu_ns,voluntary_switches,involuntary_switches,total_connections,mining_pool_hits,total_mmap_bytes,scratchpad_allocs,huge_page_requests,large_alloc_count,mprotect_large,cpu_percent,reasons
1785776572.141,0.0,159753,xmrig,0.0,NONE,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15856224,0,0,4,0,,
1785776573.207,1.0,159753,xmrig,0.0,NONE,NONE,0,925,39,99,52,0,0,116,25,2,1,2,0,3,10,0,0,0,1,1,1343630156,16,10,37,6,,
1785776574.251,2.1,159753,xmrig,0.0,NONE,NONE,0,1194,51,126,56,0,0,134,29,2,1,2,0,3,10,0,0,0,1,1,1343630156,16,10,37,6,,
1785776575.304,3.1,159753,xmrig,0.0,NONE,NONE,0,1340,51,126,56,0,0,134,29,2,1,2,0,3,10,0,0,0,1,1,1343630156,16,10,37,6,,
1785776576.356,4.2,159753,xmrig,0.0,NONE,NONE,0,1487,51,126,56,0,0,134,29,2,1,2,0,3,10,0,0,0,1,1,1343630156,16,10,37,6,,
1785776577.403,5.2,159753,xmrig,0.0,NONE,NONE,0,1628,51,126,56,0,0,134,29,2,1,2,0,3,10,0,0,0,1,1,1343630156,16,10,37,6,,
1785776578.45,6.3,159753,xmrig,0.0,NONE,NONE,0,1912,51,126,56,0,0,134,29,2,1,2,0,3,10,0,0,0,1,1,1343630156,16,10,37,6,,
1785776579.492,7.3,159753,xmrig,0.0,NONE,NONE,0,2054,51,126,56,0,0,134,29,2,1,2,0,3,10,0,0,0,1,1,1343630156,16,10,37,6,,
1785776580.54,8.4,159753,xmrig,0.0,NONE,NONE,0,2198,51,126,56,0,0,134,29,2,1,2,0,3,10,0,0,0,1,1,1343630156,16,10,37,6,,
1785776581.593,9.4,159753,xmrig,0.0,NONE,NONE,0,2336,51,126,56,0,0,134,29,2,1,2,0,3,10,0,0,0,1,1,1343630156,16,10,37,6,,
1785776582.645,10.5,159753,xmrig,0.0,NONE,NONE,0,2477,51,126,56,0,0,134,29,2,1,2,0,3,10,0,0,0,1,1,1343630156,16,10,37,6,,
1785776583.706,11.5,159753,xmrig,0.0,NONE,NONE,0,2619,51,126,56,0,0,134,29,2,1,2,0,3,10,0,0,0,1,1,1343630156,16,10,37,6,,
1785776584.747,12.6,159753,xmrig,0.0,NONE,NONE,0,2767,51,126,56,0,0,134,29,2,1,2,0,3,10,0,0,0,1,1,1343630156,16,10,37,6,,
1785776585.795,13.6,159753,xmrig,0.0,NONE,NONE,0,2914,51,126,56,0,0,134,29,2,1,2,0,3,10,0,0,0,1,1,1343630156,16,10,37,6,,
1785776586.836,14.7,159753,xmrig,0.0,NONE,NONE,0,3058,51,126,56,0,0,134,29,2,1,2,0,3,10,0,0,0,1,1,1343630156,16,10,37,6,,
1785776587.91,15.7,159753,xmrig,0.0,NONE,NONE,0,3206,51,126,56,0,0,134,29,2,1,2,0,3,10,0,0,0,1,1,1343630156,16,10,37,6,,
1785776588.969,16.8,159753,xmrig,0.0,NONE,NONE,0,3324,51,126,56,0,0,134,29,2,1,2,0,3,10,0,0,0,1,1,1343630156,16,10,37,6,,
1785776590.044,17.9,159753,xmrig,0.0,NONE,NONE,0,3457,51,126,56,0,0,134,29,2,1,2,0,3,10,0,0,0,1,1,1343630156,16,10,37,6,,
