wall_time,elapsed_s,pid,comm,score,confidence,mitigation,ticks,total_syscalls,futex,mmap,mprotect,clone,nanosleep,read,write,socket_calls,connect,send,recv,brk,thread_count,on_cpu_ns,voluntary_switches,involuntary_switches,total_connections,mining_pool_hits,total_mmap_bytes,scratchpad_allocs,huge_page_requests,large_alloc_count,mprotect_large,cpu_percent,reasons
1785784284.681,0.0,169520,xmrig,0.0,NONE,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7703680,0,0,2,0,,
1785784285.683,1.0,169520,xmrig,0.0,NONE,NONE,0,1098,55,126,56,0,0,134,29,2,1,2,0,4,10,2530044895,23,505,1,1,1410739020,16,10,37,6,,
1785784286.688,2.0,169520,xmrig,0.0,NONE,NONE,0,1262,55,126,56,0,0,134,29,2,1,2,0,4,10,5262205297,24,1250,1,1,1410739020,16,10,37,6,,
1785784287.691,3.0,169520,xmrig,0.0,NONE,NONE,0,1408,55,126,56,0,0,134,29,2,1,2,0,4,10,9163205848,26,2495,1,1,1410739020,16,10,37,6,,
1785784288.696,4.0,169520,xmrig,0.0,NONE,NONE,0,1553,55,126,56,0,0,134,29,2,1,2,0,4,10,11852052811,27,3211,1,1,1410739020,16,10,37,6,,
1785784289.701,5.0,169520,xmrig,0.0,NONE,NONE,0,1703,55,126,56,0,0,134,29,2,1,2,0,4,10,15815069030,30,4335,1,1,1410739020,16,10,37,6,,
1785784290.705,6.0,169520,xmrig,0.0,NONE,NONE,0,1847,55,126,56,0,0,134,29,2,1,2,0,4,10,19109754839,31,5344,1,1,1410739020,16,10,37,6,,
1785784291.709,7.0,169520,xmrig,0.0,NONE,NONE,0,1995,55,126,56,0,0,134,29,2,1,2,0,4,10,21897741762,32,6269,1,1,1410739020,16,10,37,6,,
1785784292.713,8.0,169520,xmrig,0.0,NONE,NONE,0,2139,55,126,56,0,0,134,29,2,1,2,0,4,10,25702958450,33,7375,1,1,1410739020,16,10,37,6,,
1785784293.716,9.0,169520,xmrig,0.0,NONE,NONE,0,2282,55,126,56,0,0,134,29,2,1,2,0,4,10,29035852963,35,8332,1,1,1410739020,16,10,37,6,,
1785784294.725,10.0,169520,xmrig,0.0,NONE,NONE,0,2431,55,126,56,0,0,134,29,2,1,2,0,4,10,31729413338,36,9091,1,1,1410739020,16,10,37,6,,
1785784295.728,11.0,169520,xmrig,0.0,NONE,NONE,0,2564,55,126,56,0,0,134,29,2,1,2,0,4,10,35395367525,41,10286,1,1,1410739020,16,10,37,6,,
1785784296.733,12.1,169520,xmrig,0.0,NONE,NONE,0,2712,55,126,56,0,0,134,29,2,1,2,0,4,10,38727053287,44,11405,1,1,1410739020,16,10,37,6,,
1785784297.736,13.1,169520,xmrig,55.0,MEDIUM,THROTTLE,1,2860,55,126,56,0,0,134,29,2,1,2,0,4,10,41433411605,44,12131,1,1,1410739020,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 100% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785784298.738,14.1,169520,xmrig,55.0,MEDIUM,THROTTLE,1,2935,55,126,56,0,0,134,29,2,1,2,0,4,10,42066405141,88,12277,1,1,1410739020,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 100% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785784299.741,15.1,169520,xmrig,55.0,MEDIUM,THROTTLE,1,2944,55,126,56,0,0,134,29,2,1,2,0,4,10,42366638094,128,12340,1,1,1410739020,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 100% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
