wall_time,elapsed_s,pid,comm,score,confidence,mitigation,ticks,total_syscalls,futex,mmap,mprotect,clone,nanosleep,read,write,socket_calls,connect,send,recv,brk,thread_count,on_cpu_ns,voluntary_switches,involuntary_switches,total_connections,mining_pool_hits,total_mmap_bytes,scratchpad_allocs,huge_page_requests,large_alloc_count,mprotect_large,cpu_percent,reasons
1785784127.456,1.0,168849,xmrig,0.0,NONE,NONE,0,1104,43,127,56,0,0,134,29,2,1,2,0,3,10,1786688743,24,432,1,1,1477847884,17,10,38,6,,
1785784128.468,2.0,168849,xmrig,0.0,NONE,NONE,0,1260,43,127,56,0,0,134,29,2,1,2,0,3,10,5044409609,25,1170,1,1,1477847884,17,10,38,6,,
1785784129.477,3.0,168849,xmrig,0.0,NONE,NONE,0,1405,43,127,56,0,0,134,29,2,1,2,0,3,10,8323860377,25,1922,1,1,1477847884,17,10,38,6,,
1785784130.486,4.0,168849,xmrig,0.0,NONE,NONE,0,1557,43,127,56,0,0,134,29,2,1,2,0,3,10,11695871081,26,2796,1,1,1477847884,17,10,38,6,,
1785784131.499,5.1,168849,xmrig,0.0,NONE,NONE,0,1706,43,127,56,0,0,134,29,2,1,2,0,3,10,15041491923,29,3802,1,1,1477847884,17,10,38,6,,
1785784132.508,6.1,168849,xmrig,0.0,NONE,NONE,0,1852,43,127,56,0,0,134,29,2,1,2,0,3,10,18334097328,29,4877,1,1,1477847884,17,10,38,6,,
1785784133.526,7.1,168849,xmrig,0.0,NONE,NONE,0,2000,43,127,56,0,0,134,29,2,1,2,0,3,10,21693771782,31,5787,1,1,1477847884,17,10,38,6,,
1785784134.534,8.1,168849,xmrig,0.0,NONE,NONE,0,2146,43,127,56,0,0,134,29,2,1,2,0,3,10,25055387054,35,6586,1,1,1477847884,17,10,38,6,,
1785784135.542,9.1,168849,xmrig,0.0,NONE,NONE,0,2300,43,127,56,0,0,134,29,2,1,2,0,3,10,28933826295,35,7570,1,1,1477847884,17,10,38,6,,
1785784136.551,10.1,168849,xmrig,0.0,NONE,NONE,0,2447,43,127,56,0,0,134,29,2,1,2,0,3,10,31747028176,36,8245,1,1,1477847884,17,10,38,6,,
1785784137.559,11.1,168849,xmrig,0.0,NONE,NONE,0,2593,43,127,56,0,0,134,29,2,1,2,0,3,10,34930287694,38,9102,1,1,1477847884,17,10,38,6,,
1785784138.574,12.1,168849,xmrig,0.0,NONE,NONE,0,2744,43,127,56,0,0,134,29,2,1,2,0,3,10,38365959130,40,9818,1,1,1477847884,17,10,38,6,,
1785784139.586,13.1,168849,xmrig,0.0,NONE,NONE,0,2896,43,127,56,0,0,134,29,2,1,2,0,3,10,41775017047,40,10763,1,1,1477847884,17,10,38,6,,
1785784140.594,14.1,168849,xmrig,0.0,NONE,NONE,0,3044,43,127,56,0,0,134,29,2,1,2,0,3,10,45089267006,42,11668,1,1,1477847884,17,10,38,6,,
1785784141.607,15.2,168849,xmrig,0.0,NONE,NONE,0,3193,43,127,56,0,0,134,29,2,1,2,0,3,10,48444088843,42,12424,1,1,1477847884,17,10,38,6,,
1785784142.618,16.2,168849,xmrig,0.0,NONE,NONE,0,3341,43,127,56,0,0,134,29,2,1,2,0,3,10,51773502421,43,13256,1,1,1477847884,17,10,38,6,,
1785784143.634,17.2,168849,xmrig,0.0,NONE,NONE,0,3483,43,127,56,0,0,134,29,2,1,2,0,3,10,55085048561,46,14244,1,1,1477847884,17,10,38,6,,
1785784144.642,18.2,168849,xmrig,0.0,NONE,NONE,0,3629,43,127,56,0,0,134,29,2,1,2,0,3,10,58428193657,48,15156,1,1,1477847884,17,10,38,6,,
1785784145.659,19.2,168849,xmrig,60.0,HIGH,BLOCK,1,3780,43,127,56,0,0,134,29,2,1,2,0,3,10,62374078291,52,16204,1,1,1477847884,17,10,38,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (34 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 100% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation); fingerprint registry match: xmrig (similarity=0.93) — elevated without waiting for full observation window
