wall_time,elapsed_s,pid,comm,score,confidence,mitigation,ticks,total_syscalls,futex,mmap,mprotect,clone,nanosleep,read,write,socket_calls,connect,send,recv,brk,thread_count,on_cpu_ns,voluntary_switches,involuntary_switches,total_connections,mining_pool_hits,total_mmap_bytes,scratchpad_allocs,huge_page_requests,large_alloc_count,mprotect_large,cpu_percent,reasons
1785601178.892,0.0,45103,Thread-4 (burn),0.0,NONE,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1209666036,1138,708,0,0,509075352,4,0,11,4,,
1785601179.916,1.0,45103,Thread-1 (burn),0.0,NONE,NONE,0,4893,4390,35,14,0,0,38,0,0,0,0,0,4,5,2160324293,2005,1268,0,0,509075352,4,0,11,4,,
1785601180.932,2.0,45103,Thread-1 (burn),0.0,NONE,NONE,0,4893,4390,35,14,0,0,38,0,0,0,0,0,4,5,2998021955,2805,1723,0,0,509075352,4,0,11,4,,
1785601181.952,3.1,45103,Thread-3 (burn),0.0,NONE,NONE,0,4893,4390,35,14,0,0,38,0,0,0,0,0,4,5,3798380513,3618,2148,0,0,509075352,4,0,11,4,,
1785601182.972,4.1,45103,Thread-3 (burn),0.0,NONE,NONE,0,4893,4390,35,14,0,0,38,0,0,0,0,0,4,5,5063053005,4814,2888,0,0,509075352,4,0,11,4,,
1785601183.992,5.1,45103,Thread-3 (burn),0.0,NONE,NONE,0,4893,4390,35,14,0,0,38,0,0,0,0,0,4,5,6129456280,5792,3620,0,0,509075352,4,0,11,4,,
1785601185.016,6.1,45103,Thread-2 (burn),0.0,NONE,NONE,0,4893,4390,35,14,0,0,38,0,0,0,0,0,4,5,6480625421,6140,3798,0,0,509075352,4,0,11,4,,
1785601186.032,7.1,45103,Thread-3 (burn),0.0,NONE,NONE,0,18135,17632,35,14,0,0,38,0,0,0,0,0,4,5,7631542426,7173,4397,0,0,509075352,4,0,11,4,,
1785601187.046,8.2,45103,Thread-1 (burn),0.0,NONE,NONE,0,18135,17632,35,14,0,0,38,0,0,0,0,0,4,5,8519262575,7973,4777,0,0,509075352,4,0,11,4,,
1785601188.06,9.2,45103,Thread-4 (burn),0.0,NONE,NONE,0,18135,17632,35,14,0,0,38,0,0,0,0,0,4,5,10108407329,9413,5554,0,0,509075352,4,0,11,4,,
1785601189.075,10.2,45103,Thread-1 (burn),0.0,NONE,NONE,0,18135,17632,35,14,0,0,38,0,0,0,0,0,4,5,10569406561,9887,5713,0,0,509075352,4,0,11,4,,
1785601190.095,11.2,45103,Thread-3 (burn),0.0,NONE,NONE,0,27479,26976,35,14,0,0,38,0,0,0,0,0,4,5,11711354364,10877,6280,0,0,509075352,4,0,11,4,,
1785601191.122,12.2,45103,Thread-1 (burn),0.0,NONE,NONE,0,27479,26976,35,14,0,0,38,0,0,0,0,0,4,5,12989400643,12059,6966,0,0,509075352,4,0,11,4,,
1785601192.148,13.2,45103,Thread-3 (burn),0.0,NONE,NONE,0,27479,26976,35,14,0,0,38,0,0,0,0,0,4,5,14103375834,13126,7425,0,0,509075352,4,0,11,4,,
1785601193.166,14.3,45103,Thread-2 (burn),0.0,NONE,NONE,0,27479,26976,35,14,0,0,38,0,0,0,0,0,4,5,14835911597,13904,7761,0,0,509075352,4,0,11,4,,
1785601194.183,15.3,45103,Thread-2 (burn),0.0,NONE,NONE,0,39012,38509,35,14,0,0,38,0,0,0,0,0,4,5,14835911597,13904,7761,0,0,509075352,4,0,11,4,,
1785601195.196,16.3,45103,Thread-2 (burn),0.0,NONE,NONE,0,39012,38509,35,14,0,0,38,0,0,0,0,0,4,5,15699816698,14753,8015,0,0,509075352,4,0,11,4,,
1785601196.213,17.3,45103,Thread-3 (burn),0.0,NONE,NONE,0,43178,42675,35,14,0,0,38,0,0,0,0,0,4,5,18131755439,17184,8650,0,0,509075352,4,0,11,4,,
1785601197.228,18.3,45103,Thread-3 (burn),0.0,NONE,NONE,0,43178,42675,35,14,0,0,38,0,0,0,0,0,4,5,18602677275,17741,8823,0,0,509075352,4,0,11,4,,
1785601198.243,19.4,45103,Thread-4 (burn),0.0,NONE,NONE,0,43178,42675,35,14,0,0,38,0,0,0,0,0,4,5,19622771768,18667,9226,0,0,509075352,4,0,11,4,,
1785601199.258,20.4,45103,Thread-4 (burn),0.0,NONE,NONE,0,43178,42675,35,14,0,0,38,0,0,0,0,0,4,5,20950870021,19936,9814,0,0,509075352,4,0,11,4,,
1785601200.277,21.4,45103,Thread-4 (burn),0.0,NONE,NONE,0,43178,42675,35,14,0,0,38,0,0,0,0,0,4,5,22145510761,21102,10351,0,0,509075352,4,0,11,4,,
1785601201.299,22.4,45103,Thread-1 (burn),0.0,NONE,NONE,0,43178,42675,35,14,0,0,38,0,0,0,0,0,4,5,23225069004,22086,10934,0,0,509075352,4,0,11,4,,
1785601202.315,23.4,45103,Thread-1 (burn),0.0,NONE,NONE,0,43178,42675,35,14,0,0,38,0,0,0,0,0,4,5,23599165376,22487,11219,0,0,509075352,4,0,11,4,,
1785601203.33,24.4,45103,python3,0.0,NONE,NONE,0,43178,42675,35,14,0,0,38,0,0,0,0,0,4,0,14665,1,0,0,0,509075352,4,0,11,4,,
