elapsed_s,external_cpu_percent,on_cpu_ns,on_cpu_ns_delta,negative_delta,derived_cpu_percent_1s,voluntary_switches,involuntary_switches,thread_count
1.0,185.0,1623643173,,False,,10,767,
2.0,287.5,4385189129,2761545956,False,276.1545956,12,1731,
3.0,295.0,7719093361,3333904232,False,333.3904232,12,2836,
4.0,298.0,10098344518,2379251157,False,237.92511570000002,12,3412,
5.0,323.9,13501743521,3403399003,False,340.3399003,12,3871,
6.0,309.8,16587971302,3086227781,False,308.6227781,12,4432,
7.0,311.5,19644365652,3056394350,False,305.639435,13,4952,
8.0,326.1,22982670504,3338304852,False,333.8304852,13,5461,
9.0,305.1,26131600160,3148929656,False,314.8929656,13,5975,
10.1,295.5,29549191125,3417590965,False,341.7590965,13,6585,
11.1,288.5,31886583972,2337392847,False,233.73928469999998,13,7143,
12.1,268.2,34627551361,2740967389,False,274.0967389,13,7951,
13.1,295.2,37594946362,2967395001,False,296.7395001,13,8448,
14.1,289.3,40515874591,2920928229,False,292.0928229,13,9015,
15.1,283.4,43474896415,2959021824,False,295.9021824,14,10185,
16.1,282.7,46438710630,2963814215,False,296.38142150000004,14,11342,
17.1,288.5,49193200392,2754489762,False,275.4489762,15,12172,
18.1,299.2,52068894957,2875694565,False,287.5694565,15,12573,
19.1,296.8,55119231351,3050336394,False,305.03363939999997,15,12994,
20.1,291.6,58072264051,2953032700,False,295.30327,15,13671,
21.1,297.4,61302481728,3230217677,False,323.0217677,15,14437,
22.1,329.1,64848155386,3545673658,False,354.5673658,15,14866,
23.1,324.0,67537484336,2689328950,False,268.93289500000003,15,15173,
24.1,314.7,70802171152,3264686816,False,326.4686816,15,15617,
25.1,323.7,73978104580,3175933428,False,317.5933428,15,15948,
26.1,309.6,77170787638,3192683058,False,319.2683058,15,16461,
27.1,296.2,80002640759,2831853121,False,283.1853121,15,17381,
28.2,299.6,83030387552,3027746793,False,302.7746793,15,17934,
29.2,275.3,86120053212,3089665660,False,308.966566,15,18769,
30.2,262.6,88746162121,2626108909,False,262.6108909,15,20091,
