wall_time,elapsed_s,pid,comm,score,confidence,mitigation,ticks,total_syscalls,futex,mmap,mprotect,clone,nanosleep,read,write,socket_calls,connect,send,recv,brk,thread_count,on_cpu_ns,voluntary_switches,involuntary_switches,total_connections,mining_pool_hits,total_mmap_bytes,scratchpad_allocs,huge_page_requests,large_alloc_count,mprotect_large,cpu_percent,reasons
1785600321.01,0.0,40934,xmrig,0.0,NONE,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3840635,0,9,0,0,700934160,2,1,10,1,,
1785600322.016,1.0,40934,xmrig,0.0,NONE,NONE,0,1010,42,121,55,0,0,132,6,1,0,2,0,4,6,1674561214,18,567,0,0,1250758428,19,10,36,5,,
1785600323.021,2.0,40934,xmrig,0.0,NONE,NONE,0,1013,42,121,55,0,0,132,6,1,0,2,0,4,6,4898570678,18,1727,0,0,1250758428,19,10,36,5,,
1785600324.026,3.0,40934,xmrig,0.0,NONE,NONE,0,1016,42,121,55,0,0,132,6,1,0,2,0,4,6,8060825406,20,2487,0,0,1250758428,19,10,36,5,,
1785600325.031,4.0,40934,xmrig,0.0,NONE,NONE,0,1019,42,121,55,0,0,132,6,1,0,2,0,4,6,11101695284,20,3066,0,0,1250758428,19,10,36,5,,
1785600326.043,5.0,40934,xmrig,0.0,NONE,NONE,0,1022,42,121,55,0,0,132,6,1,0,2,0,4,6,14144390801,20,3499,0,0,1250758428,19,10,36,5,,
1785600327.045,6.0,40934,xmrig,0.0,NONE,NONE,0,1025,42,121,55,0,0,132,6,1,0,2,0,4,6,17333212350,20,3876,0,0,1250758428,19,10,36,5,,
1785600328.052,7.0,40934,xmrig,0.0,NONE,NONE,0,1028,42,121,55,0,0,132,6,1,0,2,0,4,6,20650244074,20,4287,0,0,1250758428,19,10,36,5,,
1785600329.071,8.1,40934,xmrig,0.0,NONE,NONE,0,1031,42,121,55,0,0,132,6,1,0,2,0,4,6,24104348194,20,4771,0,0,1250758428,19,10,36,5,,
1785600330.079,9.1,40934,xmrig,0.0,NONE,NONE,0,1034,42,121,55,0,0,132,6,1,0,2,0,4,6,26731673844,20,5438,0,0,1250758428,19,10,36,5,,
1785600331.088,10.1,40934,xmrig,0.0,NONE,NONE,0,1037,42,121,55,0,0,132,6,1,0,2,0,4,6,29775204008,20,6310,0,0,1250758428,19,10,36,5,,
1785600332.094,11.1,40934,xmrig,0.0,NONE,NONE,0,1040,42,121,55,0,0,132,6,1,0,2,0,4,6,32947621419,20,7287,0,0,1250758428,19,10,36,5,,
1785600333.099,12.1,40934,xmrig,0.0,NONE,NONE,0,1043,42,121,55,0,0,132,6,1,0,2,0,4,6,35738975285,20,8190,0,0,1250758428,19,10,36,5,,
1785600334.11,13.1,40934,xmrig,0.0,NONE,NONE,0,1046,42,121,55,0,0,132,6,1,0,2,0,4,6,38875664501,20,9183,0,0,1250758428,19,10,36,5,,
1785600335.116,14.1,40934,xmrig,0.0,NONE,NONE,0,1049,42,121,55,0,0,132,6,1,0,2,0,4,6,41799450716,21,9961,0,0,1250758428,19,10,36,5,,
1785600336.12,15.1,40934,xmrig,0.0,NONE,NONE,0,1052,42,121,55,0,0,132,6,1,0,2,0,4,6,44872230640,21,10934,0,0,1250758428,19,10,36,5,,
1785600337.131,16.1,40934,xmrig,0.0,NONE,NONE,0,1055,42,121,55,0,0,132,6,1,0,2,0,4,6,47907532879,22,11654,0,0,1250758428,19,10,36,5,,
1785600338.141,17.1,40934,xmrig,0.0,NONE,NONE,0,1058,42,121,55,0,0,132,6,1,0,2,0,4,6,50564166380,23,12185,0,0,1250758428,19,10,36,5,,
1785600339.147,18.1,40934,xmrig,0.0,NONE,NONE,0,1061,42,121,55,0,0,132,6,1,0,2,0,4,6,53786760398,23,12935,0,0,1250758428,19,10,36,5,,
1785600340.152,19.1,40934,xmrig,0.0,NONE,NONE,0,1064,42,121,55,0,0,132,6,1,0,2,0,4,6,56908380337,23,13779,0,0,1250758428,19,10,36,5,,
1785600341.156,20.1,40934,xmrig,0.0,NONE,NONE,0,1067,42,121,55,0,0,132,6,1,0,2,0,4,6,59939386106,23,14646,0,0,1250758428,19,10,36,5,,
1785600342.169,21.2,40934,xmrig,0.0,NONE,NONE,0,1070,42,121,55,0,0,132,6,1,0,2,0,4,6,63223631469,24,15691,0,0,1250758428,19,10,36,5,,
1785600343.172,22.2,40934,xmrig,44.0,MEDIUM,THROTTLE,1,1073,42,121,55,0,0,132,6,1,0,2,0,4,6,64234183168,52,16053,0,0,1250758428,19,10,36,5,0.0,thread saturation: 6 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (38 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 100% involuntary preemptions (never yields voluntarily)
1785600344.176,23.2,40934,xmrig,44.0,MEDIUM,THROTTLE,1,1076,42,121,55,0,0,132,6,1,0,2,0,4,6,64598231041,100,16094,0,0,1250758428,19,10,36,5,0.0,thread saturation: 6 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (38 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 100% involuntary preemptions (never yields voluntarily)
1785600345.18,24.2,40934,xmrig,44.0,MEDIUM,THROTTLE,1,1079,42,121,55,0,0,132,6,1,0,2,0,4,6,64810324667,129,16111,0,0,1250758428,19,10,36,5,0.0,thread saturation: 6 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (38 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 100% involuntary preemptions (never yields voluntarily)
1785600346.182,25.2,40934,xmrig,44.0,MEDIUM,THROTTLE,1,1082,42,121,55,0,0,132,6,1,0,2,0,4,6,65163845679,176,16131,0,0,1250758428,19,10,36,5,0.0,thread saturation: 6 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (38 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 100% involuntary preemptions (never yields voluntarily)
